seconds,%CPU,%memory
0,Web,Co  0.0  2.9
0,Web,Co  0.0  1.7
0,Web,Co  1.7  2.6
0,Web,Co  1.5  1.8
0,Web,Co  0.0  1.8
0,Web,Co  1.5  2.2
0,Web,Co  0.0  4.2
5,Web,Co  0.0  2.9
5,Web,Co  0.0  1.7
5,Web,Co  1.7  2.6
5,Web,Co  1.5  1.8
5,Web,Co  0.0  1.8
5,Web,Co  1.5  2.3
5,Web,Co  0.0  4.2
10,Web,Co  0.0  2.9
10,Web,Co  0.0  1.7
10,Web,Co  1.7  2.6
10,Web,Co  1.5  1.8
10,Web,Co  0.0  1.8
10,Web,Co  1.5  2.3
10,Web,Co  0.0  4.2
15,Web,Co  0.0  2.9
15,Web,Co  0.0  1.7
15,Web,Co  1.7  2.6
15,Web,Co  1.5  1.8
15,Web,Co  0.0  1.8
15,Web,Co  1.5  2.3
15,Web,Co  0.0  4.2
20,Web,Co  0.0  2.9
20,Web,Co  0.0  1.7
20,Web,Co  1.7  2.6
20,Web,Co  1.5  1.8
20,Web,Co  0.0  1.8
20,Web,Co  1.5  2.3
20,Web,Co  0.0  4.2
25,Web,Co  0.0  2.9
25,Web,Co  0.0  1.7
25,Web,Co  1.7  2.6
25,Web,Co  1.5  1.8
25,Web,Co  0.0  1.8
25,Web,Co  1.5  2.3
25,Web,Co  0.0  4.2
30,Web,Co  0.0  2.9
30,Web,Co  0.0  1.7
30,Web,Co  1.7  2.6
30,Web,Co  1.5  1.8
30,Web,Co  0.0  1.8
30,Web,Co  1.5  2.3
30,Web,Co  0.0  4.2
35,Web,Co  0.0  2.8
35,Web,Co  0.0  1.7
35,Web,Co  1.7  2.6
35,Web,Co  1.5  1.8
35,Web,Co  0.0  1.8
35,Web,Co  1.5  2.3
35,Web,Co  0.0  4.2
40,Web,Co  0.0  2.8
40,Web,Co  0.0  1.7
40,Web,Co  1.7  2.6
40,Web,Co  1.5  1.8
40,Web,Co  0.0  1.8
40,Web,Co  1.5  2.3
40,Web,Co  0.0  4.2
45,Web,Co  0.0  2.8
45,Web,Co  0.0  1.7
45,Web,Co  1.7  2.6
45,Web,Co  1.5  1.8
45,Web,Co  0.0  1.8
45,Web,Co  1.5  2.3
45,Web,Co  0.0  4.2
50,Web,Co  0.0  2.8
50,Web,Co  0.0  1.7
50,Web,Co  1.7  2.6
50,Web,Co  1.5  1.8
50,Web,Co  0.0  1.8
50,Web,Co  1.5  2.3
50,Web,Co  0.0  4.2
55,Web,Co  0.0  2.8
55,Web,Co  0.0  1.7
55,Web,Co  1.7  2.6
55,Web,Co  1.5  1.8
55,Web,Co  0.0  1.8
55,Web,Co  1.5  2.3
55,Web,Co  0.0  4.2
60,Web,Co  0.0  2.8
60,Web,Co  0.0  1.7
60,Web,Co  1.7  2.6
60,Web,Co  1.5  1.8
60,Web,Co  0.0  1.8
60,Web,Co  1.5  2.3
60,Web,Co  0.0  4.2
65,Web,Co  0.0  2.8
65,Web,Co  0.0  1.7
65,Web,Co  1.7  2.6
65,Web,Co  1.5  1.8
65,Web,Co  0.0  1.8
65,Web,Co  1.5  2.3
65,Web,Co  0.0  4.2
70,Web,Co  0.0  2.8
70,Web,Co  0.0  1.7
70,Web,Co  1.7  2.6
70,Web,Co  1.5  1.8
70,Web,Co  0.0  1.8
70,Web,Co  1.5  2.3
70,Web,Co  0.0  4.2
75,Web,Co  0.0  2.8
75,Web,Co  0.0  1.7
75,Web,Co  1.7  2.6
75,Web,Co  1.5  1.8
75,Web,Co  0.0  1.8
75,Web,Co  1.5  2.3
75,Web,Co  0.0  4.2
80,Web,Co  0.0  2.8
80,Web,Co  0.0  1.7
80,Web,Co  1.7  2.6
80,Web,Co  1.5  1.8
80,Web,Co  0.0  1.8
80,Web,Co  1.5  2.3
80,Web,Co  0.0  4.2
85,Web,Co  0.0  2.8
85,Web,Co  0.0  1.7
85,Web,Co  1.7  2.6
85,Web,Co  1.5  1.8
85,Web,Co  0.0  1.8
85,Web,Co  1.5  2.3
85,Web,Co  0.0  4.2
90,Web,Co  0.0  2.8
90,Web,Co  0.0  1.7
90,Web,Co  1.7  2.6
90,Web,Co  1.5  1.8
90,Web,Co  0.0  1.8
90,Web,Co  1.5  2.2
90,Web,Co  0.0  4.2
95,Web,Co  0.0  2.8
95,Web,Co  0.0  1.7
95,Web,Co  1.7  2.6
95,Web,Co  1.5  1.8
95,Web,Co  0.0  1.8
95,Web,Co  1.5  2.2
95,Web,Co  0.0  4.2
100,Web,Co  0.0  2.8
100,Web,Co  0.0  1.7
100,Web,Co  1.7  2.6
100,Web,Co  1.5  1.8
100,Web,Co  0.0  1.8
100,Web,Co  1.5  2.3
100,Web,Co  0.0  4.2
105,Web,Co  0.0  2.8
105,Web,Co  0.0  1.7
105,Web,Co  1.7  2.6
105,Web,Co  1.5  1.8
105,Web,Co  0.0  1.8
105,Web,Co  1.5  2.3
105,Web,Co  0.0  4.1
110,Web,Co  0.0  2.8
110,Web,Co  0.0  1.7
110,Web,Co  1.7  2.6
110,Web,Co  1.5  1.7
110,Web,Co  0.0  1.8
110,Web,Co  1.5  2.2
110,Web,Co  0.0  4.1
115,Web,Co  0.0  2.8
115,Web,Co  0.0  1.7
115,Web,Co  1.7  2.6
115,Web,Co  1.5  1.8
115,Web,Co  0.0  1.8
115,Web,Co  1.5  2.2
