seconds,%CPU,%memory
0,0.0,0.9
5,0.0,1.0
10,0.0,0.9
15,0.0,0.9
20,0.0,0.9
25,0.0,0.9
30,0.0,1.0
35,0.0,1.0
40,0.0,0.9
45,0.0,0.9
50,0.0,0.9
55,0.0,0.9
60,0.0,0.9
65,0.0,0.9
70,0.0,0.9
75,0.0,1.0
80,0.0,0.9
85,0.0,1.0
90,0.0,0.9
95,0.0,1.0
100,0.0,0.9
105,0.0,0.9
110,0.0,0.9
115,0.0,0.9
120,0.0,0.9
125,0.0,0.9
130,0.0,0.9
135,0.0,0.9
140,0.0,0.9
145,0.0,0.9
150,0.0,0.9
155,0.0,0.9
160,0.0,0.9
165,0.0,0.9
170,0.0,0.9
175,0.0,0.9
180,0.0,0.9
185,0.0,0.9
190,0.0,0.9
195,0.0,0.9
200,0.0,0.9
205,0.0,1.0
210,0.0,1.0
215,0.0,1.0
220,0.0,1.0
225,0.0,1.0
230,0.0,1.0
235,0.0,0.9
240,0.0,1.0
245,0.0,0.9
250,0.0,1.0
255,0.0,1.0
260,0.0,1.0
265,0.0,1.0
270,0.0,0.9
275,0.0,0.9
280,0.0,1.0
285,0.0,1.0
290,0.0,1.0
295,0.0,0.9
300,0.0,1.0
305,0.0,0.9
310,0.0,1.0
315,0.0,0.9
320,0.0,0.9
325,0.0,0.9
330,0.0,0.9
335,0.0,0.9
340,0.0,0.9
345,0.0,0.9
350,0.0,0.9
355,0.0,0.9
360,0.0,0.9
365,0.0,0.9
370,0.0,0.9
375,0.0,0.9
380,0.0,0.9
385,0.0,1.0
390,0.0,1.0
395,0.0,1.0
400,0.0,0.9
405,0.0,0.9
410,0.0,0.9
415,0.0,0.9
420,0.0,0.9
425,0.0,0.9
430,0.0,0.9
435,0.0,0.9
440,0.0,0.9
445,0.0,0.9
450,0.0,0.9
455,0.0,0.9
460,0.0,0.9
465,0.0,0.9
470,0.0,0.9
475,0.0,0.9
480,0.0,0.9
485,0.0,0.9
490,0.0,0.9
495,0.0,0.9
500,0.0,0.9
505,0.0,0.9
510,0.0,0.9
515,0.0,0.9
520,0.0,0.9
525,0.0,0.9
530,0.0,0.9
535,0.0,0.9
540,0.0,0.9
545,0.0,0.9
550,0.0,0.9
555,0.0,0.9
560,0.0,0.9
565,0.0,0.9
570,0.0,0.9
575,0.0,0.9
580,0.0,0.9
585,0.0,0.9
590,0.0,0.9
595,0.0,0.9
600,0.0,0.9
605,0.0,0.9
610,0.0,0.9
615,0.0,0.9
620,0.0,0.9
625,0.0,0.9
630,0.0,0.9
635,0.0,0.9
640,0.0,0.9
645,0.0,0.9
650,0.0,0.9
655,0.0,0.9
660,0.0,0.9
665,0.0,0.9
670,0.0,0.9
675,0.0,0.9
680,0.0,0.9
685,0.0,0.9
690,0.0,0.9
695,0.0,0.9
700,0.0,0.9
705,0.0,0.9
710,0.0,0.9
715,0.0,0.9
720,0.0,0.9
725,0.0,0.9
730,0.0,0.9
735,0.0,0.9
740,0.0,0.9
745,0.0,0.9
750,0.0,0.9
755,0.0,0.9
760,0.0,0.9
765,0.0,0.9
770,0.0,0.9
775,0.0,0.9
780,0.0,1.0
785,0.0,0.9
790,0.0,0.9
795,0.0,0.9
800,0.0,0.9
805,0.0,0.9
810,0.0,0.9
815,0.0,0.9
820,0.0,0.9
825,0.0,0.9
830,0.0,0.9
835,0.0,0.9
840,0.0,0.9
845,0.0,0.9
850,0.0,0.9
855,0.0,0.9
860,0.0,0.9
865,0.0,0.9
870,0.0,0.9
875,0.0,0.9
880,0.0,0.9
885,0.0,0.9
890,0.0,0.9
895,0.0,0.9
