seconds,%CPU,%memory
0,1.1,4.3
0,0.0,0.9
0,0.0,0.9
0,0.0,0.3
0,1.9,1.7
0,0.0,1.4
0,7.9,6.5
0,1.0,2.9
0,0.5,2.0
0,0.1,1.9
0,0.2,2.0
5,1.1,4.2
5,0.0,0.9
5,0.0,0.9
5,0.0,0.3
5,1.9,1.7
5,0.0,1.4
5,7.9,6.6
5,1.0,2.9
5,0.5,2.0
5,0.1,1.9
5,0.2,2.0
10,1.1,4.2
10,0.0,0.9
10,0.0,0.9
10,0.0,0.3
10,1.8,1.7
10,0.0,1.4
10,7.8,6.9
10,1.0,2.9
10,0.5,2.0
10,0.1,1.9
10,0.2,2.0
15,1.1,4.2
15,0.0,0.9
15,0.0,0.9
15,0.0,0.3
15,1.8,1.7
15,0.0,1.4
15,7.8,6.5
15,1.0,2.9
15,0.5,2.0
15,0.1,1.9
15,0.2,2.0
20,1.1,4.2
20,0.0,0.9
20,0.0,0.9
20,0.0,0.3
20,1.8,1.7
20,0.0,1.4
20,7.7,6.6
20,1.0,2.9
20,0.5,2.0
20,0.1,1.9
20,0.2,2.0
25,1.1,4.3
25,0.0,0.9
25,0.0,0.9
25,0.0,0.3
25,1.8,1.7
25,0.0,1.4
25,7.6,6.9
25,1.0,2.9
25,0.5,2.0
25,0.1,1.9
25,0.1,2.0
30,1.0,4.3
30,0.0,0.9
30,0.0,0.9
30,0.0,0.3
30,1.8,1.7
30,0.0,1.4
30,7.6,6.8
30,1.0,2.9
30,0.5,2.0
30,0.1,1.9
30,0.1,2.0
35,1.0,4.2
35,0.0,0.9
35,0.0,0.9
35,0.0,0.3
35,1.8,1.7
35,0.0,1.4
35,7.5,7.1
35,1.0,2.9
35,0.4,2.0
35,0.1,1.9
35,0.1,1.9
40,1.0,4.3
40,0.0,0.9
40,0.0,0.9
40,0.0,0.3
40,1.8,1.7
40,0.0,1.4
40,7.5,6.7
40,0.9,2.9
40,0.4,2.0
40,0.1,1.9
40,0.1,1.9
45,1.0,4.2
45,0.0,0.9
45,0.0,0.9
45,0.0,0.3
45,1.7,1.7
45,0.0,1.4
45,7.4,6.7
45,0.9,2.9
45,0.4,2.0
45,0.1,1.9
45,0.1,1.9
50,1.0,4.2
50,0.0,0.9
50,0.0,0.9
50,0.0,0.3
50,1.7,1.7
50,0.0,1.4
50,7.3,6.6
50,0.9,2.9
50,0.4,2.0
50,0.1,1.9
50,0.1,1.9
55,1.0,4.2
55,0.0,0.9
55,0.0,0.9
55,0.0,0.3
55,1.7,1.7
55,0.0,1.4
55,7.3,6.6
55,0.9,2.9
55,0.4,2.0
55,0.1,1.8
55,0.1,1.9
60,1.0,4.2
60,0.0,0.9
60,0.0,0.9
60,0.0,0.3
60,1.7,1.7
60,0.0,1.4
60,7.2,6.6
60,0.9,2.9
60,0.4,2.0
60,0.1,1.9
60,0.1,1.9
65,1.0,4.2
65,0.0,0.9
65,0.0,0.9
65,0.0,0.3
65,1.7,1.7
65,0.0,1.4
65,7.1,6.7
65,0.9,2.9
65,0.4,2.0
65,0.1,1.9
65,0.1,1.9
70,1.0,4.2
70,0.0,0.9
70,0.0,0.9
70,0.0,0.3
70,1.7,1.7
70,0.0,1.4
70,7.2,7.0
70,0.9,2.9
70,0.4,2.0
70,0.1,1.9
70,0.1,1.9
75,1.0,4.3
75,0.0,0.9
75,0.0,0.9
75,0.0,0.3
75,1.7,1.8
75,0.0,1.4
75,7.2,6.9
75,0.9,2.9
75,0.4,2.0
75,0.1,1.9
75,0.1,1.9
80,1.0,4.3
80,0.0,0.9
80,0.0,0.9
80,0.0,0.3
80,1.7,1.7
80,0.0,1.4
80,7.2,6.9
80,0.9,3.0
80,0.4,2.0
80,0.1,1.9
80,0.1,1.9
85,1.0,4.3
85,0.0,0.9
85,0.0,0.9
85,0.0,0.3
85,1.7,1.7
85,0.0,1.4
85,7.2,6.8
85,0.9,2.9
85,0.4,2.0
85,0.1,1.9
85,0.1,1.9
90,1.0,4.3
90,0.0,0.9
90,0.0,0.9
90,0.0,0.3
90,1.7,1.6
90,0.0,1.4
90,7.2,6.4
90,0.9,2.9
90,0.4,2.0
90,0.1,1.8
