seconds,%CPU,%memory
0,59.7,0.0
5,60.1,0.0
10,60.6,0.0
15,61.0,0.0
20,61.5,0.0
25,61.9,0.0
30,62.2,0.0
35,62.4,0.0
40,62.6,0.0
45,63.0,0.0
50,63.2,0.0
55,63.5,0.0
60,63.6,0.0
65,62.9,0.0
70,62.3,0.0
75,61.6,0.0
80,61.0,0.0
85,60.4,0.0
90,59.8,0.0
95,59.2,0.0
100,59.0,0.0
105,59.4,0.0
110,59.8,0.0
115,60.2,0.0
120,60.5,0.0
125,60.9,0.0
130,61.3,0.0
135,61.5,0.0
140,61.9,0.0
145,62.2,0.0
150,62.5,0.0
155,62.7,0.0
160,63.0,0.0
165,63.1,0.0
170,63.3,0.0
175,63.1,0.0
180,62.6,0.0
185,62.1,0.0
190,61.5,0.0
195,61.0,0.0
200,60.5,0.0
205,60.4,0.0
210,60.7,0.0
215,60.9,0.0
220,61.1,0.0
225,61.4,0.0
230,61.6,0.0
235,61.9,0.0
240,62.2,0.0
245,62.5,0.0
250,62.7,0.0
255,62.9,0.0
260,62.9,0.0
265,63.0,0.0
270,63.2,0.0
275,63.1,0.0
280,62.6,0.0
285,62.1,0.0
290,61.7,0.0
295,61.3,0.0
300,60.9,0.0
305,60.5,0.0
310,60.1,0.0
315,59.7,0.0
325,60.2,0.0
330,60.4,0.0
335,60.7,0.0
340,60.9,0.0
345,61.2,0.0
350,61.5,0.0
355,61.7,0.0
360,61.9,0.0
365,62.2,0.0
370,62.3,0.0
375,62.5,0.0
380,62.6,0.0
385,62.7,0.0
390,62.6,0.0
395,62.2,0.0
400,61.9,0.0
405,61.5,0.0
410,61.1,0.0
415,60.7,0.0
420,60.3,0.0
430,59.7,0.0
435,59.7,0.0
440,59.8,0.0
450,60.2,0.0
455,60.4,0.0
460,60.6,0.0
465,60.6,0.0
470,60.7,0.0
475,60.6,0.0
480,60.6,0.0
485,60.6,0.0
490,60.6,0.0
495,60.4,0.0
500,60.1,0.0
505,59.7,0.0
510,59.4,0.0
515,59.1,0.0
520,58.8,0.0
525,58.5,0.0
530,58.3,0.0
535,58.5,0.0
540,58.6,0.0
545,58.8,0.0
550,59.0,0.0
555,59.1,0.0
560,59.1,0.0
565,59.1,0.0
570,59.1,0.0
575,59.1,0.0
580,59.1,0.0
585,59.1,0.0
590,59.3,0.0
595,59.3,0.0
600,59.0,0.0
605,58.6,0.0
610,58.4,0.0
615,58.1,0.0
620,57.8,0.0
625,57.6,0.0
630,57.7,0.0
635,57.8,0.0
640,58.0,0.0
645,58.1,0.0
650,58.3,0.0
655,58.3,0.0
660,58.3,0.0
665,58.4,0.0
670,58.3,0.0
675,58.4,0.0
680,58.4,0.0
685,58.3,0.0
690,58.1,0.0
695,57.8,0.0
700,57.6,0.0
705,57.3,0.0
710,57.1,0.0
715,56.9,0.0
720,57.1,0.0
725,57.2,0.0
730,57.4,0.0
735,57.5,0.0
740,57.7,0.0
745,57.9,0.0
750,58.0,0.0
755,58.1,0.0
760,58.3,0.0
765,58.4,0.0
770,58.5,0.0
775,58.6,0.0
780,58.5,0.0
785,58.3,0.0
790,58.1,0.0
795,57.8,0.0
800,57.6,0.0
805,57.4,0.0
810,57.1,0.0
815,56.9,0.0
820,56.6,0.0
825,56.8,0.0
830,56.9,0.0
835,57.1,0.0
840,57.2,0.0
845,57.3,0.0
850,57.4,0.0
855,57.6,0.0
860,57.7,0.0
865,57.8,0.0
870,57.8,0.0
875,57.8,0.0
880,57.8,0.0
885,57.6,0.0
890,57.4,0.0
895,57.2,0.0
