seconds,%CPU,%memory
0,2.6,0.0
5,2.6,0.0
10,2.6,0.0
15,2.6,0.0
20,2.6,0.0
25,2.6,0.0
30,2.6,0.0
35,2.6,0.0
40,2.6,0.0
45,2.6,0.0
50,2.6,0.0
55,2.6,0.0
60,2.6,0.0
65,2.6,0.0
70,2.6,0.0
75,2.6,0.0
80,2.6,0.0
85,2.6,0.0
90,2.6,0.0
95,2.6,0.0
100,2.6,0.0
105,2.7,0.0
110,2.7,0.0
115,2.7,0.0
120,2.7,0.0
125,2.7,0.0
130,2.7,0.0
135,2.7,0.0
140,2.7,0.0
145,2.7,0.0
150,2.7,0.0
155,2.7,0.0
160,2.7,0.0
165,2.7,0.0
170,2.7,0.0
175,2.7,0.0
180,2.7,0.0
185,2.7,0.0
190,2.7,0.0
195,2.7,0.0
200,2.7,0.0
205,2.7,0.0
210,2.7,0.0
215,2.7,0.0
220,2.7,0.0
225,2.8,0.0
230,2.7,0.0
235,2.7,0.0
240,2.7,0.0
245,2.7,0.0
250,2.7,0.0
255,2.7,0.0
260,2.8,0.0
265,2.8,0.0
270,2.8,0.0
275,2.8,0.0
280,2.8,0.0
285,2.7,0.0
290,2.8,0.0
295,2.8,0.0
300,2.8,0.0
305,2.8,0.0
310,2.8,0.0
315,2.8,0.0
320,2.8,0.0
325,2.8,0.0
330,2.8,0.0
335,2.8,0.0
340,2.8,0.0
345,2.8,0.0
350,2.8,0.0
355,2.8,0.0
360,2.8,0.0
365,2.8,0.0
370,2.8,0.0
375,2.8,0.0
380,2.8,0.0
385,2.8,0.0
390,2.8,0.0
395,2.8,0.0
400,2.8,0.0
405,2.9,0.0
410,3.5,0.0
415,4.1,0.0
420,4.6,0.0
425,5.2,0.0
430,5.7,0.0
435,6.3,0.0
440,6.8,0.0
445,7.2,0.0
450,7.7,0.0
455,8.2,0.0
460,8.7,0.0
465,9.1,0.0
470,9.3,0.0
475,9.7,0.0
485,10.3,0.0
490,10.6,0.0
495,11.0,0.0
500,11.5,0.0
505,12.0,0.0
510,12.4,0.0
515,12.9,0.0
520,13.3,0.0
525,13.8,0.0
530,14.3,0.0
535,14.7,0.0
540,15.1,0.0
545,15.5,0.0
550,15.9,0.0
555,16.2,0.0
560,16.5,0.0
565,16.7,0.0
570,16.9,0.0
575,17.2,0.0
580,17.4,0.0
585,17.7,0.0
590,18.1,0.0
595,18.5,0.0
600,18.9,0.0
605,19.2,0.0
610,19.6,0.0
620,20.4,0.0
625,20.8,0.0
630,21.1,0.0
635,21.4,0.0
640,21.8,0.0
645,22.1,0.0
650,22.4,0.0
655,22.6,0.0
660,22.8,0.0
665,23.0,0.0
670,23.2,0.0
675,23.4,0.0
680,23.6,0.0
685,23.7,0.0
690,24.1,0.0
695,24.4,0.0
700,24.7,0.0
705,25.1,0.0
710,25.4,0.0
715,25.7,0.0
720,26.0,0.0
725,26.3,0.0
730,26.6,0.0
735,26.9,0.0
740,27.2,0.0
745,27.4,0.0
750,27.7,0.0
755,28.0,0.0
760,28.3,0.0
765,28.5,0.0
770,28.8,0.0
775,28.9,0.0
780,29.0,0.0
785,29.2,0.0
790,29.5,0.0
795,29.7,0.0
805,30.2,0.0
810,30.5,0.0
815,30.8,0.0
820,31.0,0.0
825,31.3,0.0
830,31.6,0.0
835,31.8,0.0
840,32.0,0.0
845,32.3,0.0
850,32.5,0.0
855,32.8,0.0
860,33.0,0.0
865,33.2,0.0
870,33.4,0.0
875,33.4,0.0
880,33.5,0.0
885,33.7,0.0
890,33.9,0.0
895,34.2,0.0
