seconds,%CPU,%memory
0,1.2,9.2
5,1.2,9.3
10,1.2,9.3
15,1.2,9.3
20,1.2,9.3
25,1.2,9.3
30,1.2,9.3
35,1.2,9.2
40,1.2,9.2
45,1.2,9.2
50,1.2,9.2
55,1.2,9.2
60,1.2,9.2
65,1.2,9.2
70,1.2,9.2
75,1.2,9.2
80,1.2,9.2
85,1.2,9.2
90,1.2,9.2
95,1.2,9.2
100,1.2,9.2
105,1.2,9.2
110,1.2,9.2
115,1.2,9.2
120,1.2,9.2
125,1.2,9.2
130,1.2,9.2
135,1.2,9.2
140,1.2,9.2
145,1.2,9.2
150,1.2,9.2
155,1.2,9.2
160,1.2,9.2
165,1.2,9.2
170,1.2,9.2
175,1.2,9.2
180,1.2,9.2
185,1.2,9.2
190,1.2,9.2
195,1.2,9.2
200,1.2,9.2
205,1.2,9.1
210,1.2,9.1
215,1.2,9.2
220,1.2,9.2
225,1.2,9.2
230,1.2,9.2
235,1.2,9.2
240,1.2,9.2
245,1.2,9.2
250,1.2,9.2
255,1.2,9.1
260,1.2,9.1
265,1.2,9.1
270,1.2,9.1
275,1.2,9.1
280,1.2,9.1
285,1.2,9.1
290,1.2,9.2
295,1.2,9.2
300,1.2,9.2
305,1.2,9.2
310,1.2,9.2
315,1.2,9.2
320,1.2,9.2
325,1.2,9.2
330,1.2,9.2
335,1.2,9.2
340,1.2,9.2
345,1.2,9.2
350,1.2,9.2
355,1.2,9.2
360,1.2,9.2
365,1.2,9.2
370,1.2,9.2
375,1.2,9.2
380,1.2,9.2
385,1.2,9.2
390,1.2,9.2
395,1.2,9.2
400,1.2,9.2
405,1.2,9.2
410,1.2,9.2
415,1.2,9.2
420,1.2,10.7
425,1.2,9.2
430,1.2,9.3
435,1.2,9.3
440,1.2,9.3
445,1.2,9.3
450,1.2,9.3
455,1.2,9.3
460,1.2,9.3
465,1.2,9.3
470,1.2,9.3
475,1.2,9.3
480,1.2,9.3
485,1.2,9.3
490,1.2,9.3
495,1.2,9.3
500,1.2,9.3
505,1.2,9.3
510,1.2,9.3
515,1.2,9.3
520,1.2,9.3
525,1.2,9.3
530,1.2,9.3
535,1.2,9.3
540,1.2,9.3
545,1.2,9.3
550,1.2,9.3
555,1.2,9.3
560,1.2,9.3
565,1.2,9.3
570,1.2,9.3
575,1.2,9.3
580,1.2,9.3
585,1.2,9.3
590,1.2,9.2
595,1.2,9.2
600,1.2,9.2
605,1.2,9.2
610,1.2,9.2
615,1.2,9.2
620,1.2,9.2
625,1.2,9.2
630,1.2,9.2
635,1.2,9.2
640,1.2,9.2
645,1.2,9.2
650,1.2,9.2
655,1.2,9.2
660,1.2,9.2
665,1.2,9.2
670,1.2,9.2
675,1.2,9.2
680,1.2,9.2
685,1.2,9.2
690,1.2,9.2
695,1.2,9.2
700,1.2,9.2
705,1.2,9.2
710,1.2,9.2
715,1.2,9.2
720,1.2,9.2
725,1.2,9.2
730,1.2,9.2
735,1.2,9.2
740,1.2,9.2
745,1.2,9.2
750,1.2,9.2
755,1.2,9.2
760,1.2,9.2
765,1.2,9.2
770,1.2,9.2
775,1.2,9.2
780,1.2,9.2
785,1.2,9.2
790,1.2,9.2
795,1.2,9.2
800,1.2,9.2
805,1.2,9.2
810,1.2,9.2
815,1.2,9.2
820,1.2,9.2
825,1.2,9.2
830,1.2,9.2
835,1.2,9.2
840,1.2,9.2
845,1.2,9.2
850,1.2,9.2
855,1.2,9.2
860,1.2,9.2
865,1.2,9.2
870,1.2,9.2
875,1.2,9.2
880,1.2,9.2
885,1.2,9.2
890,1.2,9.2
895,1.2,9.2
