seconds,%CPU,%memory
0,3.7,10.9
5,3.7,11.0
10,3.7,10.9
15,3.7,10.9
20,3.7,10.9
25,3.7,10.9
30,3.7,11.0
35,3.7,11.0
40,3.7,10.9
45,3.7,10.9
50,3.7,10.9
55,3.7,10.9
60,3.7,10.9
65,3.7,10.9
70,3.7,10.9
75,3.7,11.0
80,3.7,10.9
85,3.7,11.0
90,3.7,10.9
95,3.7,11.0
100,3.7,10.9
105,3.7,10.9
110,3.7,10.9
115,3.7,10.9
120,3.7,10.9
125,3.7,10.9
130,3.7,10.9
135,3.7,10.9
140,3.7,10.9
145,3.7,10.9
150,3.7,10.9
155,3.7,10.9
160,3.7,10.9
165,3.7,10.9
170,3.7,10.9
175,3.7,10.9
180,3.7,10.9
185,3.7,10.9
190,3.7,10.9
195,3.7,10.9
200,3.7,10.9
205,3.7,11.0
210,3.7,11.0
215,3.7,10.9
220,3.7,10.9
225,3.7,10.9
230,3.7,10.9
235,3.7,10.9
240,3.7,10.9
245,3.7,10.9
250,3.7,10.9
255,3.7,10.9
260,3.7,10.9
265,3.7,10.9
270,3.7,10.9
275,3.7,10.9
280,3.7,10.9
285,3.7,10.9
290,3.7,10.9
295,3.7,10.9
300,3.7,10.9
305,3.7,10.9
310,3.7,10.9
315,3.7,10.9
320,3.7,10.9
325,3.7,10.9
330,3.7,10.9
335,3.7,10.9
340,3.7,10.9
345,3.7,10.9
350,3.7,10.9
355,3.7,10.9
360,3.7,10.9
365,3.7,10.9
370,3.7,10.9
375,3.7,10.9
380,3.7,10.9
385,3.7,10.9
390,3.7,10.9
395,3.7,10.9
400,3.7,10.9
405,3.7,10.9
410,3.7,10.9
415,3.7,10.9
420,3.7,10.9
425,3.7,10.9
430,3.7,10.9
435,3.7,10.9
440,3.7,10.9
445,3.7,10.9
450,3.7,10.9
455,3.7,10.9
460,3.7,10.9
465,3.7,10.9
470,3.7,10.9
475,3.7,10.9
480,3.7,10.9
485,3.7,10.9
490,3.7,10.9
495,3.7,10.9
500,3.7,10.9
505,3.7,10.9
510,3.7,10.9
515,3.7,10.9
520,3.7,10.9
525,3.7,10.9
530,3.7,10.9
535,3.7,10.9
540,3.7,10.9
545,3.7,10.9
550,3.7,10.9
555,3.7,10.9
560,3.7,10.9
565,3.7,10.9
570,3.7,10.9
575,3.7,10.9
580,3.7,10.9
585,3.7,10.9
590,3.7,10.9
595,3.7,10.9
600,3.7,10.9
605,3.7,10.9
610,3.7,10.9
615,3.7,10.9
620,3.7,10.9
625,3.7,10.9
630,3.7,10.9
635,3.7,10.9
640,3.7,10.9
645,3.7,10.9
650,3.7,10.9
655,3.7,10.9
660,3.7,10.9
665,3.7,10.9
670,3.7,10.9
675,3.7,10.9
680,3.7,10.9
685,3.7,10.9
690,3.7,10.9
695,3.7,10.9
700,3.7,10.9
705,3.7,10.9
710,3.7,10.9
715,3.7,10.9
720,3.7,10.9
725,3.7,10.9
730,3.7,10.9
735,3.7,10.9
740,3.7,10.9
745,3.7,10.9
750,3.7,10.9
755,3.7,10.9
760,3.7,10.9
765,3.7,10.9
770,3.7,10.9
775,3.7,10.9
780,3.8,10.9
785,3.8,10.9
790,3.8,10.9
795,3.8,10.9
800,3.8,10.9
805,3.8,10.9
810,3.8,10.9
815,3.8,10.9
820,3.8,10.9
825,3.8,10.9
830,3.8,10.9
835,3.8,10.9
840,3.8,10.9
845,3.8,10.9
850,3.8,10.9
855,3.8,10.9
860,3.8,10.9
865,3.8,10.9
870,3.8,10.9
875,3.8,10.9
880,3.8,10.9
885,3.8,10.9
890,3.8,10.9
895,3.8,10.9
