seconds,%CPU,%memory
0,0.0,2.7
5,0.0,2.7
10,0.0,2.7
15,0.0,2.7
20,0.0,2.7
25,0.0,2.7
30,0.0,2.7
35,0.0,2.7
40,0.0,2.7
45,0.0,2.7
50,0.0,2.7
55,0.0,2.7
60,0.0,2.7
65,0.0,2.7
70,0.0,2.7
75,0.0,2.7
80,0.0,2.7
85,0.0,2.7
90,0.0,2.7
95,0.0,2.7
100,0.0,2.7
105,0.0,2.7
110,0.0,2.7
115,0.0,2.7
120,0.0,2.7
125,0.0,2.7
130,0.0,2.7
135,0.0,2.7
140,0.0,2.7
145,0.0,2.7
150,0.0,2.7
155,0.0,2.7
160,0.0,2.7
165,0.0,2.7
170,0.0,2.7
175,0.0,2.7
180,0.0,2.7
185,0.0,2.7
190,0.0,2.7
195,0.0,2.7
200,0.0,2.7
205,0.0,2.7
210,0.0,2.7
215,0.0,2.7
220,0.0,2.7
225,0.0,2.7
230,0.0,2.7
235,0.0,2.7
240,0.0,2.7
245,0.0,2.7
250,0.0,2.7
255,0.0,2.7
260,0.0,2.7
265,0.0,2.7
270,0.0,2.7
275,0.0,2.7
280,0.0,2.7
285,0.0,2.7
290,0.0,2.7
295,0.0,2.7
300,0.0,2.7
305,0.0,2.7
310,0.0,2.7
315,0.0,2.7
320,0.0,2.7
325,0.0,2.7
330,0.0,2.7
335,0.0,2.7
340,0.0,2.7
345,0.0,2.7
350,0.0,2.7
355,0.0,2.7
360,0.0,2.7
365,0.0,2.7
370,0.0,2.7
375,0.0,2.7
380,0.0,2.7
385,0.0,2.7
390,0.0,2.7
395,0.0,2.7
400,0.0,2.7
405,0.0,2.7
410,0.0,2.7
415,0.0,2.7
420,0.0,2.7
425,0.0,2.7
430,0.0,2.7
435,0.0,2.7
440,0.0,2.7
445,0.0,2.7
450,0.0,2.7
455,0.0,2.7
460,0.0,2.7
465,0.0,2.7
470,0.0,2.7
475,0.0,2.7
480,0.0,2.7
485,0.0,2.7
490,0.0,2.7
495,0.0,2.7
500,0.0,2.7
505,0.0,2.7
510,0.0,2.7
515,0.0,2.7
520,0.0,2.7
525,0.0,2.7
530,0.0,2.7
535,0.0,2.7
540,0.0,2.7
545,0.0,2.7
550,0.0,2.7
555,0.0,2.7
560,0.0,2.7
565,0.0,2.7
570,0.0,2.7
575,0.0,2.7
580,0.0,2.7
585,0.0,2.7
590,0.0,2.7
595,0.0,2.7
600,0.0,2.7
605,0.0,2.7
610,0.0,2.7
615,0.0,2.7
620,0.0,2.7
625,0.0,2.7
630,0.0,2.7
635,0.0,2.7
640,0.0,2.7
645,0.0,2.7
650,0.0,2.7
655,0.0,2.7
660,0.0,2.7
665,0.0,2.7
670,0.0,2.7
675,0.0,2.7
680,0.0,2.7
685,0.0,2.7
690,0.0,2.7
695,0.0,2.7
700,0.0,2.7
705,0.0,2.7
710,0.0,2.7
715,0.0,2.7
720,0.0,2.7
725,0.0,2.7
730,0.0,2.7
735,0.0,2.7
740,0.0,2.7
745,0.0,2.7
750,0.0,2.7
755,0.0,2.7
760,0.0,2.7
765,0.0,2.7
770,0.0,2.7
775,0.0,2.7
780,0.0,2.7
785,0.0,2.7
790,0.0,2.7
795,0.0,2.7
800,0.0,2.7
805,0.0,2.7
810,0.0,2.7
815,0.0,2.7
820,0.0,2.7
825,0.0,2.7
830,0.0,2.7
835,0.0,2.7
840,0.0,2.7
845,0.0,2.7
850,0.0,2.7
855,0.0,2.7
860,0.0,2.7
865,0.0,2.7
870,0.0,2.7
875,0.0,2.7
880,0.0,2.7
885,0.0,2.7
890,0.0,2.7
895,0.0,2.7
