seconds,%CPU,%memory
0,0.1,1.3
5,0.1,1.3
10,0.1,1.3
15,0.1,1.3
20,0.1,1.3
25,0.1,1.3
30,0.1,1.3
35,0.1,1.3
40,0.1,1.2
45,0.1,1.2
50,0.1,1.2
55,0.1,1.2
60,0.1,1.2
65,0.1,1.2
70,0.1,1.2
75,0.1,1.2
80,0.1,1.2
85,0.1,1.2
90,0.1,1.2
95,0.1,1.2
100,0.1,1.2
105,0.1,1.2
110,0.1,1.2
115,0.1,1.2
120,0.1,1.2
125,0.1,1.2
130,0.1,1.2
135,0.1,1.2
140,0.1,1.2
145,0.1,1.2
150,0.1,1.2
155,0.1,1.2
160,0.1,1.2
165,0.1,1.2
170,0.1,1.2
175,0.1,1.2
180,0.1,1.2
185,0.1,1.2
190,0.1,1.2
195,0.1,1.2
200,0.1,1.2
205,0.1,1.2
210,0.1,1.2
215,0.1,1.2
220,0.1,1.2
225,0.1,1.2
230,0.1,1.2
235,0.1,1.2
240,0.1,1.2
245,0.1,1.2
250,0.1,1.2
255,0.1,1.2
260,0.1,1.2
265,0.1,1.2
270,0.1,1.2
275,0.1,1.2
280,0.1,1.2
285,0.1,1.2
290,0.1,1.2
295,0.1,1.2
300,0.1,1.2
305,0.1,1.2
310,0.1,1.2
315,0.1,1.2
320,0.1,1.2
325,0.1,1.2
330,0.1,1.2
335,0.1,1.2
340,0.1,1.2
345,0.1,1.2
350,0.1,1.2
355,0.1,1.2
360,0.1,1.2
365,0.1,1.2
370,0.1,1.2
375,0.1,1.2
380,0.1,1.2
385,0.1,1.2
390,0.1,1.2
395,0.1,1.2
400,0.1,1.2
405,0.1,1.2
410,0.1,1.2
415,0.1,1.2
420,0.1,1.2
425,0.1,1.2
430,0.1,1.2
435,0.1,1.2
440,0.1,1.2
445,0.1,1.2
450,0.1,1.2
455,0.1,1.2
460,0.1,1.2
465,0.1,1.2
470,0.1,1.2
475,0.1,1.2
480,0.1,1.2
485,0.1,1.2
490,0.1,1.2
495,0.1,1.2
500,0.1,1.2
505,0.1,1.2
510,0.1,1.2
515,0.1,1.2
520,0.1,1.2
525,0.1,1.2
530,0.1,1.2
535,0.1,1.2
540,0.1,1.2
545,0.1,1.2
550,0.1,1.2
555,0.1,1.2
560,0.1,1.2
565,0.1,1.2
570,0.1,1.2
575,0.1,1.2
580,0.1,1.2
585,0.1,1.2
590,0.1,1.2
595,0.1,1.2
600,0.1,1.2
605,0.1,1.2
610,0.1,1.2
615,0.1,1.2
620,0.1,1.2
625,0.1,1.2
630,0.1,1.2
635,0.1,1.2
640,0.1,1.2
645,0.1,1.2
650,0.1,1.2
655,0.1,1.2
660,0.1,1.2
665,0.1,1.2
670,0.1,1.2
675,0.1,1.2
680,0.1,1.2
685,0.1,1.2
690,0.1,1.2
695,0.1,1.2
700,0.1,1.2
705,0.1,1.2
710,0.1,1.2
715,0.1,1.2
720,0.1,1.2
725,0.1,1.2
730,0.1,1.2
735,0.1,1.2
740,0.1,1.2
745,0.1,1.2
750,0.1,1.2
755,0.1,1.2
760,0.1,1.2
765,0.1,1.2
770,0.1,1.2
775,0.1,1.2
780,0.1,1.2
785,0.1,1.2
790,0.1,1.2
795,0.1,1.2
800,0.1,1.2
805,0.1,1.2
810,0.1,1.2
815,0.1,1.2
820,0.1,1.2
825,0.1,1.2
830,0.1,1.2
835,0.1,1.2
840,0.1,1.2
845,0.1,1.2
850,0.1,1.2
855,0.1,1.2
860,0.1,1.2
865,0.1,1.2
870,0.1,1.2
875,0.1,1.2
880,0.1,1.2
885,0.1,1.2
890,0.1,1.2
895,0.1,1.2
