seconds,%CPU,%memory
0,0.0,2.5
5,0.0,2.5
10,0.0,2.5
15,0.0,2.5
20,0.0,2.6
25,0.0,2.6
30,0.0,2.6
35,0.0,2.7
40,0.0,2.7
45,0.0,2.7
50,0.0,2.8
55,0.0,2.8
60,0.0,2.8
65,0.0,2.8
70,0.0,2.8
75,0.0,2.9
80,0.0,2.9
85,0.0,3.0
90,0.0,3.0
95,0.0,3.0
100,0.0,3.0
105,0.0,3.1
110,0.0,3.1
115,0.0,3.1
120,0.0,3.1
125,0.0,3.1
130,0.0,3.2
135,0.0,3.2
140,0.0,3.2
145,0.0,3.2
150,0.0,3.2
155,0.0,3.3
160,0.0,3.3
165,0.0,3.4
170,0.0,3.4
175,0.0,3.4
180,0.0,3.4
185,0.0,3.4
190,0.0,3.5
195,0.0,3.5
200,0.0,3.6
205,0.0,3.6
210,0.0,3.6
215,0.0,3.6
220,0.0,3.6
225,0.0,3.6
230,0.0,3.6
235,0.0,3.7
240,0.0,3.7
245,0.0,3.7
250,0.0,3.8
255,0.0,3.8
260,0.0,3.8
265,0.0,3.8
270,0.0,3.9
275,0.0,3.9
280,0.0,4.0
285,0.0,4.0
290,0.0,4.0
295,0.0,4.0
300,0.0,4.1
305,0.0,4.1
310,0.0,4.1
315,0.0,4.1
320,0.0,4.1
325,0.0,4.2
330,0.0,4.2
335,0.0,4.2
340,0.0,4.2
345,0.0,4.2
350,0.0,4.3
355,0.0,4.3
360,0.0,4.3
365,0.0,4.3
370,0.0,4.3
375,0.0,4.4
380,0.0,4.4
385,0.0,4.5
390,0.0,4.5
395,0.0,4.5
400,0.0,4.5
405,0.0,4.5
410,0.0,4.6
415,0.0,4.6
420,0.0,4.6
425,0.0,4.7
430,0.0,4.7
435,0.0,4.7
440,0.0,4.7
445,0.0,4.7
450,0.0,4.8
455,0.0,4.8
460,0.0,4.8
465,0.0,4.8
470,0.0,4.9
475,0.0,4.9
480,0.0,4.9
485,0.0,4.9
490,0.0,5.0
495,0.0,5.0
500,0.0,5.0
505,0.0,5.0
510,0.0,5.0
515,0.0,5.0
520,0.0,5.1
525,0.0,5.1
530,0.0,5.1
535,0.0,5.1
540,0.0,5.2
545,0.0,5.2
550,0.0,5.3
555,0.0,5.3
560,0.0,5.3
565,0.0,5.3
570,0.0,5.3
575,0.0,5.4
580,0.0,5.4
585,0.0,5.4
590,0.0,5.4
595,0.0,5.4
600,0.0,5.5
605,0.0,5.5
610,0.0,5.5
615,0.0,5.5
620,0.0,5.5
625,0.0,5.5
630,0.0,5.5
635,0.0,5.6
640,0.0,5.6
645,0.0,5.6
650,0.0,5.6
655,0.0,5.6
660,0.0,5.7
665,0.0,5.7
670,0.0,5.7
675,0.0,5.7
680,0.0,5.7
685,0.0,5.8
690,0.0,5.8
695,0.0,5.8
700,0.0,5.9
705,0.0,5.9
710,0.0,5.9
715,0.0,5.9
720,0.0,6.0
725,0.0,6.0
730,0.0,6.0
735,0.0,6.1
740,0.0,6.1
745,0.0,6.1
750,0.0,6.1
755,0.0,6.2
760,0.0,6.2
765,0.0,6.2
770,0.0,6.3
775,0.0,6.3
780,0.0,6.3
785,0.0,6.3
790,0.0,6.3
795,0.0,6.4
800,0.0,6.4
805,0.0,6.4
810,0.0,6.5
815,0.0,6.5
820,0.0,6.6
825,0.0,6.6
830,0.0,6.6
835,0.0,6.7
840,0.0,6.7
845,0.0,6.7
850,0.0,6.7
855,0.0,6.7
860,0.0,6.8
865,0.0,6.8
870,0.0,6.9
875,0.0,6.9
880,0.0,6.9
885,0.0,6.9
890,0.0,7.0
895,0.0,7.0
