seconds,%CPU,%memory
0,26.0,0.0
5,25.7,0.0
10,25.4,0.0
15,25.1,0.0
20,24.8,0.0
25,24.5,0.0
30,25.0,5.2
35,25.6,5.2
40,26.3,5.2
45,27.0,5.2
50,27.7,5.2
55,28.3,5.2
60,29.0,5.2
65,29.7,5.2
70,29.8,0.0
75,29.4,0.0
80,29.1,0.0
85,28.8,0.0
90,28.5,0.0
95,28.3,0.0
100,28.0,0.0
105,27.7,0.0
110,27.5,0.0
115,27.2,0.0
120,27.0,0.0
125,26.7,0.0
130,26.5,0.0
135,26.2,0.0
140,26.0,0.0
145,25.8,0.0
150,26.2,4.3
155,26.7,4.3
160,27.2,4.3
165,27.7,4.3
170,28.2,4.3
175,28.8,4.3
180,29.4,4.3
185,29.6,0.0
190,29.3,0.0
195,29.1,0.0
200,28.9,0.0
205,28.6,0.0
210,28.4,0.0
215,28.2,0.0
220,28.0,0.0
225,27.8,0.0
230,27.5,0.0
235,27.3,0.0
240,27.1,0.0
245,26.9,0.0
250,26.7,0.0
255,26.5,0.0
260,26.5,3.2
265,26.9,3.2
270,27.3,3.2
275,27.7,3.2
280,28.1,3.2
285,28.6,3.2
290,29.0,3.2
295,29.2,0.0
300,29.0,0.0
305,28.9,0.0
310,28.7,0.0
315,28.5,0.0
320,28.3,0.0
325,28.1,0.0
330,27.9,0.0
335,27.7,0.0
340,27.5,0.0
345,27.3,0.0
350,27.2,0.0
355,27.0,0.0
360,26.8,0.0
365,26.8,5.2
370,27.2,5.2
375,27.6,5.2
380,28.0,5.2
385,28.3,5.2
390,28.6,5.2
395,29.0,5.2
400,29.4,5.2
405,29.5,0.0
410,29.3,0.0
415,29.1,0.0
420,28.9,0.0
425,28.8,0.0
430,28.6,0.0
435,28.4,0.0
440,28.2,0.0
445,28.1,0.0
450,27.9,0.0
455,27.8,0.0
460,27.6,0.0
465,27.7,3.7
470,27.9,3.7
475,28.0,3.7
480,28.2,3.7
485,28.4,3.7
490,28.6,3.7
495,28.7,0.0
500,28.5,0.0
505,28.4,0.0
510,28.2,0.0
515,28.0,0.0
520,27.9,0.0
525,27.7,0.0
530,27.6,0.0
535,27.5,0.0
540,27.3,0.0
545,27.1,0.0
550,27.0,0.0
555,27.0,4.5
560,27.1,4.5
565,27.3,4.5
570,27.5,4.5
575,27.7,4.5
580,27.9,4.5
585,27.9,0.0
590,27.8,0.0
595,27.6,0.0
600,27.5,0.0
605,27.3,0.0
610,27.2,0.0
615,27.1,0.0
620,26.9,0.0
625,26.8,0.0
630,26.7,0.0
635,26.5,0.0
640,26.4,0.0
645,26.3,0.0
650,26.2,0.0
655,26.3,3.9
660,26.4,3.9
665,26.6,3.9
670,26.7,3.9
675,26.8,3.9
680,27.0,3.9
685,27.2,3.9
690,27.1,0.0
695,27.0,0.0
700,26.9,0.0
705,26.8,0.0
710,26.6,0.0
715,26.5,0.0
720,26.4,0.0
725,26.3,0.0
730,26.1,0.0
735,26.0,0.0
740,25.9,0.0
745,25.8,0.0
750,25.7,0.0
755,25.6,0.0
760,25.5,0.0
765,25.4,0.0
770,25.3,0.0
775,25.4,5.0
780,25.5,5.0
785,25.7,5.0
790,26.0,5.0
795,26.3,5.0
800,26.5,5.0
805,26.6,0.0
810,26.5,0.0
815,26.4,0.0
820,26.3,0.0
825,26.2,0.0
830,26.1,0.0
835,26.0,0.0
840,25.9,0.0
845,25.8,0.0
850,25.7,0.0
855,25.6,0.0
860,25.5,0.0
865,25.4,1.5
870,25.5,3.5
875,25.7,3.5
880,25.9,3.5
885,26.1,3.5
890,26.3,3.5
895,26.6,3.5
