seconds,%CPU,%memory
0,0.0,1.4
5,0.0,1.4
10,0.0,1.4
15,0.0,1.4
20,0.0,1.4
25,0.0,1.4
30,0.0,1.4
35,0.0,1.4
40,0.0,1.4
45,0.0,1.4
50,0.0,1.4
55,0.0,1.4
60,0.0,1.4
65,0.0,1.4
70,0.0,1.4
75,0.0,1.4
80,0.0,1.4
85,0.0,1.4
90,0.0,1.4
95,0.0,1.4
100,0.0,1.4
105,0.0,1.4
110,0.0,1.4
115,0.0,1.4
120,0.0,1.4
125,0.0,1.4
130,0.0,1.4
135,0.0,1.4
140,0.0,1.4
145,0.0,1.4
150,0.0,1.4
155,0.0,1.4
160,0.0,1.4
165,0.0,1.4
170,0.0,1.4
175,0.0,1.4
180,0.0,1.4
185,0.0,1.4
190,0.0,1.4
195,0.0,1.4
200,0.0,1.4
205,0.0,1.4
210,0.0,1.4
215,0.0,1.4
220,0.0,1.4
225,0.0,1.4
230,0.0,1.4
235,0.0,1.4
240,0.0,1.4
245,0.0,1.4
250,0.0,1.4
255,0.0,1.4
260,0.0,1.4
265,0.0,1.4
270,0.0,1.4
275,0.0,1.4
280,0.0,1.4
285,0.0,1.4
290,0.0,1.4
295,0.0,1.4
300,0.0,1.4
305,0.0,1.4
310,0.0,1.4
315,0.0,1.4
320,0.0,1.4
325,0.0,1.4
330,0.0,1.4
335,0.0,1.4
340,0.0,1.4
345,0.0,1.4
350,0.0,1.4
355,0.0,1.4
360,0.0,1.4
365,0.0,1.4
370,0.0,1.4
375,0.0,1.4
380,0.0,1.4
385,0.0,1.4
390,0.0,1.4
395,0.0,1.4
400,0.0,1.4
405,0.0,1.4
410,0.0,1.4
415,0.0,1.4
420,0.0,1.4
425,0.0,1.4
430,0.0,1.4
435,0.0,1.4
440,0.0,1.4
445,0.0,1.4
450,0.0,1.4
455,0.0,1.4
460,0.0,1.4
465,0.0,1.4
470,0.0,1.4
475,0.0,1.4
480,0.0,1.4
485,0.0,1.4
490,0.0,1.4
495,0.0,1.4
500,0.0,1.4
505,0.0,1.4
510,0.0,1.4
515,0.0,1.4
520,0.0,1.4
525,0.0,1.4
530,0.0,1.4
535,0.0,1.4
540,0.0,1.4
545,0.0,1.4
550,0.0,1.4
555,0.0,1.4
560,0.0,1.4
565,0.0,1.4
570,0.0,1.4
575,0.0,1.4
580,0.0,1.4
585,0.0,1.4
590,0.0,1.4
595,0.0,1.4
600,0.0,1.4
605,0.0,1.4
610,0.0,1.4
615,0.0,1.4
620,0.0,1.4
625,0.0,1.4
630,0.0,1.4
635,0.0,1.4
640,0.0,1.4
645,0.0,1.4
650,0.0,1.4
655,0.0,1.4
660,0.0,1.4
665,0.0,1.4
670,0.0,1.4
675,0.0,1.4
680,0.0,1.4
685,0.0,1.4
690,0.0,1.4
695,0.0,1.4
700,0.0,1.4
705,0.0,1.4
710,0.0,1.4
715,0.0,1.4
720,0.0,1.4
725,0.0,1.4
730,0.0,1.4
735,0.0,1.4
740,0.0,1.4
745,0.0,1.4
750,0.0,1.4
755,0.0,1.4
760,0.0,1.4
765,0.0,1.4
770,0.0,1.4
775,0.0,1.4
780,0.0,1.4
785,0.0,1.4
790,0.0,1.4
795,0.0,1.4
800,0.0,1.4
805,0.0,1.4
810,0.0,1.4
815,0.0,1.4
820,0.0,1.4
825,0.0,1.4
830,0.0,1.4
835,0.0,1.4
840,0.0,1.4
845,0.0,1.4
850,0.0,1.4
855,0.0,1.4
860,0.0,1.4
865,0.0,1.4
870,0.0,1.4
875,0.0,1.4
880,0.0,1.4
885,0.0,1.4
890,0.0,1.4
895,0.0,1.4
