seconds,%CPU,%memory
0,0.0,4.0
5,0.0,4.0
10,0.0,4.0
15,0.0,4.0
20,0.0,4.0
25,0.0,4.0
30,0.0,4.0
35,0.0,3.9
40,0.0,3.9
45,0.0,3.9
50,0.0,3.9
55,0.0,3.9
60,0.0,3.9
65,0.0,3.9
70,0.0,3.9
75,0.0,3.9
80,0.0,3.9
85,0.0,3.9
90,0.0,3.9
95,0.0,3.9
100,0.0,3.9
105,0.0,3.9
110,0.0,3.9
115,0.0,3.9
120,0.0,3.9
125,0.0,3.9
130,0.0,3.9
135,0.0,3.9
140,0.0,3.9
145,0.0,3.9
150,0.0,3.9
155,0.0,3.9
160,0.0,3.9
165,0.0,3.9
170,0.0,3.9
175,0.0,3.9
180,0.0,3.9
185,0.0,3.9
190,0.0,3.9
195,0.0,3.9
200,0.0,3.9
205,0.0,3.8
210,0.0,3.8
215,0.0,3.8
220,0.0,3.8
225,0.0,3.8
230,0.0,3.8
235,0.0,3.8
240,0.0,3.8
245,0.0,3.8
250,0.0,3.8
255,0.0,3.8
260,0.0,3.8
265,0.0,3.8
270,0.0,3.8
275,0.0,3.8
280,0.0,3.8
285,0.0,3.8
290,0.0,3.8
295,0.0,3.8
300,0.0,3.8
305,0.0,3.8
310,0.0,3.8
315,0.0,3.8
320,0.0,3.8
325,0.0,3.8
330,0.0,3.8
335,0.0,3.8
340,0.0,3.8
345,0.0,3.8
350,0.0,3.8
355,0.0,3.8
360,0.0,3.8
365,0.0,3.8
370,0.0,3.8
375,0.0,3.8
380,0.0,3.8
385,0.0,3.8
390,0.0,3.8
395,0.0,3.8
400,0.0,3.8
405,0.0,3.8
410,0.0,3.8
415,0.0,3.8
420,0.0,3.8
425,0.0,3.8
430,0.0,3.8
435,0.0,3.8
440,0.0,3.8
445,0.0,3.8
450,0.0,3.8
455,0.0,3.8
460,0.0,3.8
465,0.0,3.8
470,0.0,3.8
475,0.0,3.8
480,0.0,3.8
485,0.0,3.8
490,0.0,3.8
495,0.0,3.8
500,0.0,3.8
505,0.0,3.8
510,0.0,3.8
515,0.0,3.8
520,0.0,3.8
525,0.0,3.8
530,0.0,3.8
535,0.0,3.8
540,0.0,3.8
545,0.0,3.8
550,0.0,3.8
555,0.0,3.8
560,0.0,3.8
565,0.0,3.8
570,0.0,3.8
575,0.0,3.8
580,0.0,3.8
585,0.0,3.8
590,0.0,3.8
595,0.0,3.8
600,0.0,3.8
605,0.0,3.8
610,0.0,3.8
615,0.0,3.8
620,0.0,3.8
625,0.0,3.8
630,0.0,3.8
635,0.0,3.8
640,0.0,3.8
645,0.0,3.8
650,0.0,3.8
655,0.0,3.8
660,0.0,3.8
665,0.0,3.8
670,0.0,3.8
675,0.0,3.8
680,0.0,3.8
685,0.0,3.8
690,0.0,3.8
695,0.0,3.8
700,0.0,3.8
705,0.0,3.8
710,0.0,3.8
715,0.0,3.8
720,0.0,3.8
725,0.0,3.8
730,0.0,3.8
735,0.0,3.8
740,0.0,3.8
745,0.0,3.8
750,0.0,3.8
755,0.0,3.8
760,0.0,3.8
765,0.0,3.8
770,0.0,3.8
775,0.0,3.8
780,0.0,3.8
785,0.0,3.8
790,0.0,3.8
795,0.0,3.8
800,0.0,3.8
805,0.0,3.8
810,0.0,3.8
815,0.0,3.8
820,0.0,3.8
825,0.0,3.8
830,0.0,3.8
835,0.0,3.8
840,0.0,3.8
845,0.0,3.8
850,0.0,3.8
855,0.0,3.8
860,0.0,3.8
865,0.0,3.8
870,0.0,3.8
875,0.0,3.8
880,0.0,3.8
885,0.0,3.8
890,0.0,3.8
895,0.0,3.8
