seconds,%CPU,%memory
0,0.0,0.3
5,0.0,0.3
10,0.0,0.3
15,0.0,0.3
20,0.0,0.3
25,0.0,0.3
30,0.0,0.3
35,0.0,0.3
40,0.0,0.3
45,0.0,0.3
50,0.0,0.3
55,0.0,0.3
60,0.0,0.3
65,0.0,0.3
70,0.0,0.3
75,0.0,0.3
80,0.0,0.3
85,0.0,0.3
90,0.0,0.3
95,0.0,0.3
100,0.0,0.3
105,0.0,0.3
110,0.0,0.3
115,0.0,0.3
120,0.0,0.3
125,0.0,0.3
130,0.0,0.3
135,0.0,0.3
140,0.0,0.3
145,0.0,0.3
150,0.0,0.3
155,0.0,0.3
160,0.0,0.3
165,0.0,0.3
170,0.0,0.3
175,0.0,0.3
180,0.0,0.3
185,0.0,0.3
190,0.0,0.3
195,0.0,0.3
200,0.0,0.3
205,0.0,0.3
210,0.0,0.3
215,0.0,0.3
220,0.0,0.3
225,0.0,0.3
230,0.0,0.3
235,0.0,0.3
240,0.0,0.3
245,0.0,0.3
250,0.0,0.3
255,0.0,0.3
260,0.0,0.3
265,0.0,0.3
270,0.0,0.3
275,0.0,0.3
280,0.0,0.3
285,0.0,0.3
290,0.0,0.3
295,0.0,0.3
300,0.0,0.3
305,0.0,0.3
310,0.0,0.3
315,0.0,0.3
320,0.0,0.3
325,0.0,0.3
330,0.0,0.3
335,0.0,0.3
340,0.0,0.3
345,0.0,0.3
350,0.0,0.3
355,0.0,0.3
360,0.0,0.3
365,0.0,0.3
370,0.0,0.3
375,0.0,0.3
380,0.0,0.3
385,0.0,0.3
390,0.0,0.3
395,0.0,0.3
400,0.0,0.3
405,0.0,0.3
410,0.0,0.3
415,0.0,0.3
420,0.0,0.3
425,0.0,0.3
430,0.0,0.3
435,0.0,0.3
440,0.0,0.3
445,0.0,0.3
450,0.0,0.3
455,0.0,0.3
460,0.0,0.3
465,0.0,0.3
470,0.0,0.3
475,0.0,0.3
480,0.0,0.3
485,0.0,0.3
490,0.0,0.3
495,0.0,0.3
500,0.0,0.3
505,0.0,0.3
510,0.0,0.3
515,0.0,0.3
520,0.0,0.3
525,0.0,0.3
530,0.0,0.3
535,0.0,0.3
540,0.0,0.3
545,0.0,0.3
550,0.0,0.3
555,0.0,0.3
560,0.0,0.3
565,0.0,0.3
570,0.0,0.3
575,0.0,0.3
580,0.0,0.3
585,0.0,0.3
590,0.0,0.3
595,0.0,0.3
600,0.0,0.3
605,0.0,0.3
610,0.0,0.3
615,0.0,0.3
620,0.0,0.3
625,0.0,0.3
630,0.0,0.3
635,0.0,0.3
640,0.0,0.3
645,0.0,0.3
650,0.0,0.3
655,0.0,0.3
660,0.0,0.3
665,0.0,0.3
670,0.0,0.3
675,0.0,0.3
680,0.0,0.3
685,0.0,0.3
690,0.0,0.3
695,0.0,0.3
700,0.0,0.3
705,0.0,0.3
710,0.0,0.3
715,0.0,0.3
720,0.0,0.3
725,0.0,0.3
730,0.0,0.3
735,0.0,0.3
740,0.0,0.3
745,0.0,0.3
750,0.0,0.3
755,0.0,0.3
760,0.0,0.3
765,0.0,0.3
770,0.0,0.3
775,0.0,0.3
780,0.0,0.3
785,0.0,0.3
790,0.0,0.3
795,0.0,0.3
800,0.0,0.3
805,0.0,0.3
810,0.0,0.3
815,0.0,0.3
820,0.0,0.3
825,0.0,0.3
830,0.0,0.3
835,0.0,0.3
840,0.0,0.3
845,0.0,0.3
850,0.0,0.3
855,0.0,0.3
860,0.0,0.3
865,0.0,0.3
870,0.0,0.3
875,0.0,0.3
880,0.0,0.3
885,0.0,0.3
890,0.0,0.3
895,0.0,0.3
