seconds,%CPU,%memory
0,0.0,0.8
5,0.0,0.8
10,0.0,0.8
15,0.0,0.8
20,0.0,0.8
25,0.0,0.8
30,0.0,0.8
35,0.0,0.8
40,0.0,0.8
45,0.0,0.8
50,0.0,0.8
55,0.0,0.8
60,0.0,0.8
65,0.0,0.8
70,0.0,0.8
75,0.0,0.8
80,0.0,0.8
85,0.0,0.8
90,0.0,0.8
95,0.0,0.8
100,0.0,0.8
105,0.0,0.7
110,0.0,0.7
115,0.0,0.7
120,0.0,0.7
125,0.0,0.7
130,0.0,0.7
135,0.0,0.7
140,0.0,0.7
145,0.0,0.7
150,0.0,0.7
155,0.0,0.7
160,0.0,0.7
165,0.0,0.7
170,0.0,0.7
175,0.0,0.7
180,0.0,0.7
185,0.0,0.7
190,0.0,0.7
195,0.0,0.7
200,0.0,0.7
205,0.0,0.7
210,0.0,0.7
215,0.0,0.7
220,0.0,0.7
225,0.0,0.7
230,0.0,0.7
235,0.0,0.7
240,0.0,0.7
245,0.0,0.7
250,0.0,0.7
255,0.0,0.7
260,0.0,0.7
265,0.0,0.7
270,0.0,0.7
275,0.0,0.7
280,0.0,0.7
285,0.0,0.7
290,0.0,0.7
295,0.0,0.7
300,0.0,0.7
305,0.0,0.7
310,0.0,0.7
315,0.0,0.7
320,0.0,0.7
325,0.0,0.7
330,0.0,0.7
335,0.0,0.7
340,0.0,0.7
345,0.0,0.7
350,0.0,0.7
355,0.0,0.7
360,0.0,0.7
365,0.0,0.7
370,0.0,0.7
375,0.0,0.7
380,0.0,0.7
385,0.0,0.7
390,0.0,0.7
395,0.0,0.7
400,0.0,0.7
405,0.0,0.7
410,0.0,0.7
415,0.0,0.7
420,0.0,0.7
425,0.0,0.7
430,0.0,0.7
435,0.0,0.7
440,0.0,0.7
445,0.0,0.7
450,0.0,0.7
455,0.0,0.7
460,0.0,0.7
465,0.0,0.7
470,0.0,0.7
475,0.0,0.7
480,0.0,0.7
485,0.0,0.7
490,0.0,0.7
495,0.0,0.7
500,0.0,0.7
505,0.0,0.7
510,0.0,0.7
515,0.0,0.7
520,0.0,0.7
525,0.0,0.7
530,0.0,0.7
535,0.0,0.7
540,0.0,0.7
545,0.0,0.7
550,0.0,0.7
555,0.0,0.7
560,0.0,0.7
565,0.0,0.7
570,0.0,0.7
575,0.0,0.7
580,0.0,0.7
585,0.0,0.7
590,0.0,0.7
595,0.0,0.7
600,0.0,0.7
605,0.0,0.7
610,0.0,0.7
615,0.0,0.7
620,0.0,0.7
625,0.0,0.7
630,0.0,0.7
635,0.0,0.7
640,0.0,0.7
645,0.0,0.7
650,0.0,0.7
655,0.0,0.7
660,0.0,0.7
665,0.0,0.7
670,0.0,0.7
675,0.0,0.7
680,0.0,0.7
685,0.0,0.7
690,0.0,0.7
695,0.0,0.7
700,0.0,0.7
705,0.0,0.7
710,0.0,0.7
715,0.0,0.7
720,0.0,0.7
725,0.0,0.7
730,0.0,0.7
735,0.0,0.7
740,0.0,0.7
745,0.0,0.7
750,0.0,0.7
755,0.0,0.7
760,0.0,0.7
765,0.0,0.7
770,0.0,0.7
775,0.0,0.7
780,0.0,0.7
785,0.0,0.7
790,0.0,0.7
795,0.0,0.7
800,0.0,0.7
805,0.0,0.7
810,0.0,0.7
815,0.0,0.7
820,0.0,0.7
825,0.0,0.7
830,0.0,0.7
835,0.0,0.7
840,0.0,0.7
845,0.0,0.7
850,0.0,0.7
855,0.0,0.7
860,0.0,0.7
865,0.0,0.7
870,0.0,0.7
875,0.0,0.7
880,0.0,0.7
885,0.0,0.7
890,0.0,0.7
895,0.0,0.7
