seconds,rx data rate,tx data rate,disk writes,available disk capacity
0,1208,1006,181.01,18713
5,0,0,182.24,18713
10,0,0,182.80,18456
15,0,0,183.34,18457
20,0,0,184.67,17943
25,0,0,185.21,17945
30,158,436,186.94,17945
35,60,42,187.88,17945
40,0,0,188.10,17945
45,330,682,189.21,17945
50,0,0,190.32,16921
55,0,0,190.76,16921
60,0,0,192.30,16921
65,0,0,192.29,16921
70,0,0,193.17,16921
75,0,0,194.43,16921
80,8586,15207,195.39,16921
85,230,2349,196.74,16921
90,454,2640,197.07,16921
95,0,0,198.74,16921
100,0,0,198.73,14865
105,0,0,199.76,14873
110,0,0,201.01,14873
115,0,0,201.59,14873
120,90,90,203.25,14873
125,60,42,203.53,14873
130,0,66,205.53,14873
135,66,0,205.52,14873
140,0,62,206.22,14873
145,158,96,207.47,14873
150,0,0,208.20,14873
155,0,0,209.64,14873
160,0,0,210.00,14873
165,0,0,211.46,14873
170,156,160,212.30,14873
175,126,108,212.74,14873
180,0,0,214.29,14873
185,0,0,214.28,14873
190,0,0,216.43,14873
195,0,0,216.42,14873
200,0,0,217.37,10761
205,218,96,218.62,10777
210,8517,15037,219.09,10777
215,812,15172,220.78,10777
220,526,4891,220.77,10777
225,0,0,222.78,10777
230,0,0,222.77,10777
235,0,0,223.57,10777
240,0,0,224.80,10777
245,0,0,224.79,10777
250,0,0,226.72,10777
255,961,13175,226.71,10777
260,863,31404,228.50,10777
265,454,2473,228.49,10777
270,771,2561,229.22,10777
275,296,2377,230.28,10777
280,296,2377,231.01,10777
285,522,4817,232.04,10777
290,0,0,232.62,10777
295,0,0,233.96,10777
300,0,0,234.47,10776
305,661,10833,236.25,10776
310,230,4512,236.24,10776
315,0,0,237.95,10776
320,25670,11749,237.94,10776
325,0,0,239.68,10776
330,90,90,239.67,10776
335,0,0,240.18,10776
340,0,0,241.45,10776
345,0,0,242.21,10776
350,381,261,243.82,10776
355,126,108,244.06,10776
360,0,0,245.24,10776
365,0,0,245.82,10776
370,0,0,247.16,10776
375,0,0,247.44,10776
380,157,161,249.09,10776
385,60,42,249.08,10776
390,0,0,250.06,10776
395,877,13083,251.08,10776
400,296,2378,251.73,10776
405,292,2378,252.09,18968
410,296,2378,252.08,18968
415,296,2378,252.07,18968
420,5261,5171,252.05,18951
425,296,2378,252.17,18967
430,292,2378,252.16,18967
435,292,2378,252.15,18967
440,453,2473,252.14,18967
445,296,2378,252.13,18967
450,296,2378,252.13,18968
455,765,2562,252.12,18968
460,452,2472,252.11,18968
465,393,2510,252.10,18968
470,296,2378,252.09,18968
475,292,2378,252.08,18968
480,292,2378,252.07,18968
485,292,2378,252.06,18968
490,292,2379,252.05,18968
495,454,2474,252.04,18968
500,296,2343,252.03,18968
505,292,2445,252.02,18968
510,292,2379,252.01,18968
515,771,2563,252.00,18968
520,296,2380,251.98,18968
525,362,2380,251.97,18968
530,292,2381,251.96,18968
535,292,2382,251.95,18968
540,292,2383,251.94,18968
545,362,2408,251.93,18968
550,520,2796,251.92,18968
555,226,2349,251.91,18968
560,362,2445,251.90,18968
565,292,2379,251.88,18968
570,382,2469,251.87,18968
575,775,2563,251.86,18968
580,297,2379,251.85,18968
585,297,2379,251.84,18968
590,230,2344,251.83,18969
595,292,2444,251.82,18969
600,296,2379,251.81,18969
605,292,2379,251.80,18969
610,453,2474,251.79,18969
615,292,2379,251.78,18969
620,292,2379,251.77,18969
625,292,2379,251.75,18969
630,397,2511,251.75,18969
635,713,2528,251.74,18969
640,292,2445,251.72,18969
645,296,2379,251.71,18969
650,292,2379,251.70,18969
655,292,2379,251.69,18969
660,296,2379,251.68,18969
665,453,2474,251.67,18969
670,292,2379,251.66,18969
675,292,2379,251.65,18969
680,296,2378,251.64,18969
685,292,2379,251.63,18969
690,292,2378,251.62,18969
695,776,2562,251.60,18969
700,292,2378,251.59,18969
705,292,2379,251.58,18969
710,292,2379,251.57,18969
715,292,2379,251.56,18969
720,358,2379,251.55,18969
725,449,2474,251.54,18969
730,296,2379,251.53,18969
735,292,2379,251.52,18969
740,292,2379,251.51,18969
745,519,2473,251.49,18969
750,292,2379,251.49,18969
755,771,2563,251.47,18969
760,297,2379,251.46,18969
765,226,2344,251.45,18969
770,292,2445,251.44,18969
775,363,2378,251.43,18969
780,449,2474,251.42,18969
785,296,2378,251.41,18969
790,296,2378,251.40,18969
795,393,2511,251.38,18969
800,292,2379,251.38,18969
805,296,2379,251.36,18969
810,292,2380,251.35,18969
815,769,2565,251.34,18969
820,292,2382,251.33,18969
825,292,2407,251.32,18969
830,296,2701,251.31,18969
835,454,2478,251.30,18969
840,365,2379,251.29,18969
845,295,2379,251.28,18969
850,295,2379,251.27,18969
855,295,2379,251.26,18969
860,295,2379,251.25,18969
865,295,2379,251.24,18969
870,295,2379,251.23,18969
875,781,2563,251.21,18969
880,295,2378,251.20,18969
885,295,2379,251.19,18969
890,295,2378,251.18,18969
895,453,2475,251.17,18969
