seconds,%CPU,%memory
5,%CPU,%MEM
10,%CPU,%MEM
15,%CPU,%MEM
20,%CPU,%MEM
25,%CPU,%MEM
30,%CPU,%MEM
35,%CPU,%MEM
40,%CPU,%MEM
45,%CPU,%MEM
50,%CPU,%MEM
55,%CPU,%MEM
60,%CPU,%MEM
65,%CPU,%MEM
70,%CPU,%MEM
75,%CPU,%MEM
80,%CPU,%MEM
85,%CPU,%MEM
90,%CPU,%MEM
95,%CPU,%MEM
100,%CPU,%MEM
105,%CPU,%MEM
110,%CPU,%MEM
115,%CPU,%MEM
120,%CPU,%MEM
125,%CPU,%MEM
130,%CPU,%MEM
135,%CPU,%MEM
140,%CPU,%MEM
145,%CPU,%MEM
150,%CPU,%MEM
155,%CPU,%MEM
160,%CPU,%MEM
165,%CPU,%MEM
170,%CPU,%MEM
175,%CPU,%MEM
180,%CPU,%MEM
185,%CPU,%MEM
190,%CPU,%MEM
195,%CPU,%MEM
200,%CPU,%MEM
205,%CPU,%MEM
210,%CPU,%MEM
215,%CPU,%MEM
220,%CPU,%MEM
225,%CPU,%MEM
230,%CPU,%MEM
235,%CPU,%MEM
240,%CPU,%MEM
245,%CPU,%MEM
250,%CPU,%MEM
255,%CPU,%MEM
260,%CPU,%MEM
265,%CPU,%MEM
270,%CPU,%MEM
275,%CPU,%MEM
280,%CPU,%MEM
285,%CPU,%MEM
290,%CPU,%MEM
295,%CPU,%MEM
300,%CPU,%MEM
305,%CPU,%MEM
310,%CPU,%MEM
315,%CPU,%MEM
320,%CPU,%MEM
325,%CPU,%MEM
330,%CPU,%MEM
335,%CPU,%MEM
340,%CPU,%MEM
345,%CPU,%MEM
350,%CPU,%MEM
355,%CPU,%MEM
360,%CPU,%MEM
365,%CPU,%MEM
370,%CPU,%MEM
375,%CPU,%MEM
380,%CPU,%MEM
385,%CPU,%MEM
390,%CPU,%MEM
395,%CPU,%MEM
400,%CPU,%MEM
405,%CPU,%MEM
410,%CPU,%MEM
415,%CPU,%MEM
420,%CPU,%MEM
425,%CPU,%MEM
430,%CPU,%MEM
435,%CPU,%MEM
440,%CPU,%MEM
445,%CPU,%MEM
450,%CPU,%MEM
455,%CPU,%MEM
460,%CPU,%MEM
465,%CPU,%MEM
470,%CPU,%MEM
475,%CPU,%MEM
480,%CPU,%MEM
485,%CPU,%MEM
490,%CPU,%MEM
495,%CPU,%MEM
500,%CPU,%MEM
505,%CPU,%MEM
510,%CPU,%MEM
515,%CPU,%MEM
520,%CPU,%MEM
525,%CPU,%MEM
530,%CPU,%MEM
535,%CPU,%MEM
540,%CPU,%MEM
545,%CPU,%MEM
550,%CPU,%MEM
555,%CPU,%MEM
560,%CPU,%MEM
565,%CPU,%MEM
570,%CPU,%MEM
575,%CPU,%MEM
580,%CPU,%MEM
585,%CPU,%MEM
590,%CPU,%MEM
595,%CPU,%MEM
600,%CPU,%MEM
605,%CPU,%MEM
610,%CPU,%MEM
615,%CPU,%MEM
620,%CPU,%MEM
625,%CPU,%MEM
630,%CPU,%MEM
635,%CPU,%MEM
640,%CPU,%MEM
645,%CPU,%MEM
650,%CPU,%MEM
655,%CPU,%MEM
660,%CPU,%MEM
665,%CPU,%MEM
670,%CPU,%MEM
675,%CPU,%MEM
680,%CPU,%MEM
685,%CPU,%MEM
690,%CPU,%MEM
695,%CPU,%MEM
700,%CPU,%MEM
705,%CPU,%MEM
710,%CPU,%MEM
715,%CPU,%MEM
720,%CPU,%MEM
725,%CPU,%MEM
730,%CPU,%MEM
735,%CPU,%MEM
740,%CPU,%MEM
745,%CPU,%MEM
750,%CPU,%MEM
755,%CPU,%MEM
760,%CPU,%MEM
765,%CPU,%MEM
770,%CPU,%MEM
775,%CPU,%MEM
780,%CPU,%MEM
785,%CPU,%MEM
790,%CPU,%MEM
795,%CPU,%MEM
800,%CPU,%MEM
805,%CPU,%MEM
810,%CPU,%MEM
815,%CPU,%MEM
820,%CPU,%MEM
825,%CPU,%MEM
830,%CPU,%MEM
835,%CPU,%MEM
840,%CPU,%MEM
845,%CPU,%MEM
850,%CPU,%MEM
855,%CPU,%MEM
860,%CPU,%MEM
865,%CPU,%MEM
870,%CPU,%MEM
875,%CPU,%MEM
880,%CPU,%MEM
885,%CPU,%MEM
890,%CPU,%MEM
895,%CPU,%MEM
