seconds,%CPU,%memory
0,Web,Co  0.0  2.5
0,Web,Co  1.7  3.5
0,Web,Co  1.5  2.5
0,Web,Co  0.0  3.7
0,Web,Co  1.5  3.5
0,Web,Co  0.0  5.4
5,Web,Co  0.0  3.6
5,Web,Co  0.0  2.5
5,Web,Co  1.7  3.5
5,Web,Co  1.5  2.5
5,Web,Co  0.0  3.7
5,Web,Co  1.5  3.5
5,Web,Co  0.0  5.4
10,Web,Co  0.0  3.6
10,Web,Co  0.0  2.5
10,Web,Co  1.7  3.5
10,Web,Co  1.5  2.5
10,Web,Co  0.0  3.7
10,Web,Co  1.5  3.5
10,Web,Co  0.0  5.4
15,Web,Co  0.0  3.6
15,Web,Co  0.0  2.5
15,Web,Co  1.7  3.5
15,Web,Co  1.5  2.5
15,Web,Co  0.0  3.7
15,Web,Co  1.5  3.5
15,Web,Co  0.0  5.4
20,Web,Co  0.0  3.6
20,Web,Co  0.0  2.5
20,Web,Co  1.7  3.5
20,Web,Co  1.5  2.5
20,Web,Co  0.0  3.7
20,Web,Co  1.5  3.5
20,Web,Co  0.0  5.4
25,Web,Co  0.0  3.6
25,Web,Co  0.0  2.5
25,Web,Co  1.7  3.5
25,Web,Co  1.5  2.5
25,Web,Co  0.0  3.7
25,Web,Co  1.5  3.5
25,Web,Co  0.0  5.4
30,Web,Co  0.0  3.6
30,Web,Co  0.0  2.5
30,Web,Co  1.7  3.5
30,Web,Co  1.5  2.5
30,Web,Co  0.0  3.7
30,Web,Co  1.5  3.5
30,Web,Co  0.0  5.4
35,Web,Co  0.0  3.6
35,Web,Co  0.0  2.5
35,Web,Co  1.7  3.5
35,Web,Co  1.5  2.5
35,Web,Co  0.0  3.7
35,Web,Co  1.5  3.5
35,Web,Co  0.0  5.4
40,Web,Co  0.0  3.6
40,Web,Co  0.0  2.5
40,Web,Co  1.7  3.5
40,Web,Co  1.5  2.5
40,Web,Co  0.0  3.7
40,Web,Co  1.5  3.5
40,Web,Co  0.0  5.4
45,Web,Co  0.0  3.6
45,Web,Co  0.0  2.5
45,Web,Co  1.7  3.5
45,Web,Co  1.5  2.5
45,Web,Co  0.0  3.7
45,Web,Co  1.5  3.5
45,Web,Co  0.0  5.4
50,Web,Co  0.0  3.6
50,Web,Co  0.0  2.5
50,Web,Co  1.7  3.5
50,Web,Co  1.5  2.5
50,Web,Co  0.0  3.7
50,Web,Co  1.5  3.5
50,Web,Co  0.0  5.4
55,Web,Co  0.0  3.6
55,Web,Co  0.0  2.5
55,Web,Co  1.7  3.5
55,Web,Co  1.5  2.5
55,Web,Co  0.0  3.7
55,Web,Co  1.5  3.5
55,Web,Co  0.0  5.4
60,Web,Co  0.0  3.6
60,Web,Co  0.0  2.5
60,Web,Co  1.7  3.5
60,Web,Co  1.5  2.5
60,Web,Co  0.0  3.7
60,Web,Co  1.5  3.5
60,Web,Co  0.0  5.4
65,Web,Co  0.0  3.6
