seconds,%CPU,%memory
5,Cont,0.0  5.7
10,Cont,0.0  5.7
15,Cont,0.0  5.7
20,Cont,0.0  5.7
25,Cont,0.0  5.7
30,Cont,0.0  5.7
35,Cont,0.0  5.7
40,Cont,0.0  5.7
45,Cont,0.0  5.7
50,Cont,0.0  5.7
55,Cont,0.0  5.7
60,Cont,0.0  5.7
65,Cont,0.0  5.7
70,Cont,0.0  5.7
75,Cont,0.0  5.7
80,Cont,0.0  5.7
85,Cont,0.0  5.7
90,Cont,0.0  5.7
95,Cont,0.0  5.7
100,Cont,0.0  5.7
105,Cont,0.0  5.7
110,Cont,0.0  5.7
115,Cont,0.0  5.7
120,Cont,0.0  5.7
125,Cont,0.0  5.7
130,Cont,0.0  5.7
135,Cont,0.0  5.7
140,Cont,0.0  5.7
145,Cont,0.0  5.7
150,Cont,0.0  5.7
155,Cont,0.0  5.7
160,Cont,0.0  5.7
165,Cont,0.0  5.7
170,Cont,0.0  5.7
175,Cont,0.0  5.7
180,Cont,0.0  5.7
185,Cont,0.0  5.7
190,Cont,0.0  5.7
195,Cont,0.0  5.7
200,Cont,0.0  5.7
205,Cont,0.0  5.7
210,Cont,0.0  5.7
215,Cont,0.0  5.7
220,Cont,0.0  5.7
225,Cont,0.0  5.7
230,Cont,0.0  5.7
235,Cont,0.0  5.7
240,Cont,0.0  5.7
245,Cont,0.0  5.7
250,Cont,0.0  5.7
255,Cont,0.0  5.7
260,Cont,0.0  5.7
265,Cont,0.0  5.7
270,Cont,0.0  5.7
275,Cont,0.0  5.7
280,Cont,0.0  5.7
285,Cont,0.0  5.7
290,Cont,0.0  5.7
295,Cont,0.0  5.7
300,Cont,0.0  5.7
305,Cont,0.0  5.7
310,Cont,0.0  5.7
315,Cont,0.0  5.7
320,Cont,0.0  5.7
325,Cont,0.0  5.7
330,Cont,0.0  5.7
335,Cont,0.0  5.7
340,Cont,0.0  5.7
345,Cont,0.0  5.7
350,Cont,0.0  5.7
355,Cont,0.0  5.7
360,Cont,0.0  5.7
365,Cont,0.0  5.7
370,Cont,0.0  5.7
375,Cont,0.0  5.7
380,Cont,0.0  5.7
385,Cont,0.0  5.7
390,Cont,0.0  5.7
395,Cont,0.0  5.7
400,Cont,0.0  5.7
405,Cont,0.0  5.7
410,Cont,0.0  5.7
415,Cont,0.0  5.7
420,Cont,0.0  5.7
425,Cont,0.0  5.7
430,Cont,0.0  5.7
435,Cont,0.0  5.7
440,Cont,0.0  5.7
445,Cont,0.0  5.7
450,Cont,0.0  5.7
455,Cont,0.0  5.7
460,Cont,0.0  5.7
465,Cont,0.0  5.7
470,Cont,0.0  5.7
475,Cont,0.0  5.7
480,Cont,0.0  5.7
485,Cont,0.0  5.7
490,Cont,0.0  5.7
495,Cont,0.0  5.7
500,Cont,0.0  5.7
505,Cont,0.0  5.7
510,Cont,0.0  5.7
515,Cont,0.0  5.7
520,Cont,0.0  5.7
525,Cont,0.0  5.7
530,Cont,0.0  5.7
535,Cont,0.0  5.7
540,Cont,0.0  5.7
545,Cont,0.0  5.7
550,Cont,0.0  5.7
555,Cont,0.0  5.7
560,Cont,0.0  5.7
565,Cont,0.0  5.7
570,Cont,0.0  5.7
575,Cont,0.0  5.7
580,Cont,0.0  5.7
585,Cont,0.0  5.7
590,Cont,0.0  5.7
595,Cont,0.0  5.7
600,Cont,0.0  5.7
605,Cont,0.0  5.7
610,Cont,0.0  5.7
615,Cont,0.0  5.7
620,Cont,0.0  5.7
625,Cont,0.0  5.7
630,Cont,0.0  5.7
635,Cont,0.0  5.7
640,Cont,0.0  5.7
645,Cont,0.0  5.7
650,Cont,0.0  5.7
655,Cont,0.0  5.7
660,Cont,0.0  5.7
665,Cont,0.0  5.7
670,Cont,0.0  5.7
675,Cont,0.0  5.7
680,Cont,0.0  5.7
685,Cont,0.0  5.7
690,Cont,0.0  5.7
695,Cont,0.0  5.7
700,Cont,0.0  5.7
705,Cont,0.0  5.7
710,Cont,0.0  5.7
715,Cont,0.0  5.7
720,Cont,0.0  5.7
725,Cont,0.0  5.7
730,Cont,0.0  5.7
735,Cont,0.0  5.7
740,Cont,0.0  5.7
745,Cont,0.0  5.7
750,Cont,0.0  5.7
755,Cont,0.0  5.7
760,Cont,0.0  5.7
765,Cont,0.0  5.7
770,Cont,0.0  5.7
775,Cont,0.0  5.7
780,Cont,0.0  5.7
785,Cont,0.0  5.7
790,Cont,0.0  5.7
795,Cont,0.0  5.7
800,Cont,0.0  5.7
805,Cont,0.0  5.7
810,Cont,0.0  5.7
815,Cont,0.0  5.7
820,Cont,0.0  5.7
825,Cont,0.0  5.7
830,Cont,0.0  5.7
835,Cont,0.0  5.7
840,Cont,0.0  5.7
845,Cont,0.0  5.7
850,Cont,0.0  5.7
855,Cont,0.0  5.7
860,Cont,0.0  5.7
865,Cont,0.0  5.7
870,Cont,0.0  5.7
875,Cont,0.0  5.7
880,Cont,0.0  5.7
885,Cont,0.0  5.7
890,Cont,0.0  5.7
895,Cont,0.0  5.7
