seconds,%CPU,%memory
5,0.0,0.1
10,0.0,0.1
15,0.0,0.1
20,0.0,0.1
25,0.0,0.1
30,0.0,0.1
35,0.0,0.1
40,0.0,0.1
45,0.0,0.1
50,0.0,0.1
55,0.0,0.1
60,0.0,0.1
65,0.0,0.1
70,0.0,0.1
75,0.0,0.1
80,0.0,0.1
85,0.0,0.1
90,0.0,0.1
95,0.0,0.1
100,0.0,0.1
105,0.0,0.1
110,0.0,0.1
115,0.0,0.1
120,0.0,0.1
125,0.0,0.1
130,0.0,0.1
135,0.0,0.1
140,0.0,0.1
145,0.0,0.1
150,0.0,0.1
155,0.0,0.1
160,0.0,0.1
165,0.0,0.1
170,0.0,0.1
175,0.0,0.1
180,0.0,0.1
185,0.0,0.1
190,0.0,0.1
195,0.0,0.1
200,0.0,0.1
205,0.0,0.1
210,0.0,0.1
215,0.0,0.1
220,0.0,0.1
225,0.0,0.1
230,0.0,0.1
235,0.0,0.1
240,0.0,0.1
245,0.0,0.1
250,0.0,0.1
255,0.0,0.1
260,0.0,0.1
265,0.0,0.1
270,0.0,0.1
275,0.0,0.1
280,0.0,0.1
285,0.0,0.1
290,0.0,0.1
295,0.0,0.1
300,0.0,0.1
305,0.0,0.1
310,0.0,0.1
315,0.0,0.1
320,0.0,0.1
325,0.0,0.1
330,0.0,0.1
335,0.0,0.1
340,0.0,0.1
345,0.0,0.1
350,0.0,0.1
355,0.0,0.1
360,0.0,0.1
365,0.0,0.1
370,0.0,0.1
375,0.0,0.1
380,0.0,0.1
385,0.0,0.1
390,0.0,0.1
395,0.0,0.1
400,0.0,0.1
405,0.0,0.1
410,0.0,0.1
415,0.0,0.1
420,0.0,0.1
425,0.0,0.1
430,0.0,0.1
435,0.0,0.1
440,0.0,0.1
445,0.0,0.1
450,0.0,0.1
455,0.0,0.1
460,0.0,0.1
465,0.0,0.1
470,0.0,0.1
475,0.0,0.1
480,0.0,0.1
485,0.0,0.1
490,0.0,0.1
495,0.0,0.1
500,0.0,0.1
505,0.0,0.1
510,0.0,0.1
515,0.0,0.1
520,0.0,0.1
525,0.0,0.1
530,0.0,0.1
535,0.0,0.1
540,0.0,0.1
545,0.0,0.1
550,0.0,0.1
555,0.0,0.1
560,0.0,0.1
565,0.0,0.1
570,0.0,0.1
575,0.0,0.1
580,0.0,0.1
585,0.0,0.1
590,0.0,0.1
595,0.0,0.1
600,0.0,0.1
605,0.0,0.1
610,0.0,0.1
615,0.0,0.1
620,0.0,0.1
625,0.0,0.1
630,0.0,0.1
635,0.0,0.1
640,0.0,0.1
645,0.0,0.1
650,0.0,0.1
655,0.0,0.1
660,0.0,0.1
665,0.0,0.1
670,0.0,0.1
675,0.0,0.1
680,0.0,0.1
685,0.0,0.1
690,0.0,0.1
695,0.0,0.1
700,0.0,0.1
705,0.0,0.1
710,0.0,0.1
715,0.0,0.1
720,0.0,0.1
725,0.0,0.1
730,0.0,0.1
735,0.0,0.1
740,0.0,0.1
745,0.0,0.1
750,0.0,0.1
755,0.0,0.1
760,0.0,0.1
765,0.0,0.1
770,0.0,0.1
775,0.0,0.1
780,0.0,0.1
785,0.0,0.1
790,0.0,0.1
795,0.0,0.1
800,0.0,0.1
805,0.0,0.1
810,0.0,0.1
815,0.0,0.1
820,0.0,0.1
825,0.0,0.1
830,0.0,0.1
835,0.0,0.1
840,0.0,0.1
845,0.0,0.1
850,0.0,0.1
855,0.0,0.1
860,0.0,0.1
865,0.0,0.1
870,0.0,0.1
875,0.0,0.1
880,0.0,0.1
885,0.0,0.1
890,0.0,0.1
895,0.0,0.1
