seconds,%CPU,%memory
5,0.0,2.1
10,0.0,2.1
15,0.0,2.1
20,0.0,2.1
25,0.0,2.1
30,0.0,2.1
35,0.0,2.1
40,0.0,2.1
45,0.0,2.1
50,0.0,2.1
55,0.0,2.1
60,0.0,2.1
65,0.0,2.1
70,0.0,2.1
75,0.0,2.1
80,0.0,2.1
85,0.0,2.1
90,0.0,2.1
95,0.0,2.1
100,0.0,2.1
105,0.0,2.1
110,0.0,2.1
115,0.0,2.1
120,0.0,2.1
125,0.0,2.1
130,0.0,2.1
135,0.0,2.1
140,0.0,2.1
145,0.0,2.1
150,0.0,2.1
155,0.0,2.1
160,0.0,2.1
165,0.0,2.1
170,0.0,2.1
175,0.0,2.1
180,0.0,2.1
185,0.0,2.1
190,0.0,2.1
195,0.0,2.1
200,0.0,2.1
205,0.0,2.1
210,0.0,2.1
215,0.0,2.1
220,0.0,2.1
225,0.0,2.1
230,0.0,2.1
235,0.0,2.1
240,0.0,2.1
245,0.0,2.1
250,0.0,2.1
255,0.0,2.1
260,0.0,2.1
265,0.0,2.1
270,0.0,2.1
275,0.0,2.1
280,0.0,2.1
285,0.0,2.1
290,0.0,2.1
295,0.0,2.1
300,0.0,2.1
305,0.0,2.1
310,0.0,2.1
315,0.0,2.1
320,0.0,2.1
325,0.0,2.1
330,0.0,2.1
335,0.0,2.1
340,0.0,2.1
345,0.0,2.1
350,0.0,2.1
355,0.0,2.1
360,0.0,2.1
365,0.0,2.1
370,0.0,2.1
375,0.0,2.1
380,0.0,2.1
385,0.0,2.1
390,0.0,2.1
395,0.0,2.1
400,0.0,2.1
405,0.0,2.1
410,0.0,2.1
415,0.0,2.1
420,0.0,2.1
425,0.0,2.1
430,0.0,2.1
435,0.0,2.1
440,0.0,2.1
445,0.0,2.1
450,0.0,2.1
455,0.0,2.1
460,0.0,2.1
465,0.0,2.1
470,0.0,2.1
475,0.0,2.1
480,0.0,2.1
485,0.0,2.1
490,0.0,2.1
495,0.0,2.1
500,0.0,2.1
505,0.0,2.1
510,0.0,2.1
515,0.0,2.1
520,0.0,2.1
525,0.0,2.1
530,0.0,2.1
535,0.0,2.1
540,0.0,2.1
545,0.0,2.1
550,0.0,2.1
555,0.0,2.1
560,0.0,2.1
565,0.0,2.1
570,0.0,2.1
575,0.0,2.1
580,0.0,2.1
585,0.0,2.1
590,0.0,2.1
595,0.0,2.1
600,0.0,2.1
605,0.0,2.1
610,0.0,2.1
615,0.0,2.1
620,0.0,2.1
625,0.0,2.1
630,0.0,2.1
635,0.0,2.1
640,0.0,2.1
645,0.0,2.1
650,0.0,2.1
655,0.0,2.1
660,0.0,2.1
665,0.0,2.1
670,0.0,2.1
675,0.0,2.1
680,0.0,2.1
685,0.0,2.1
690,0.0,2.1
695,0.0,2.1
700,0.0,2.1
705,0.0,2.1
710,0.0,2.1
715,0.0,2.1
720,0.0,2.1
725,0.0,2.1
730,0.0,2.1
735,0.0,2.1
740,0.0,2.1
745,0.0,2.1
750,0.0,2.1
755,0.0,2.1
760,0.0,2.1
765,0.0,2.1
770,0.0,2.1
775,0.0,2.1
780,0.0,2.1
785,0.0,2.1
790,0.0,2.1
795,0.0,2.1
800,0.0,2.1
805,0.0,2.1
810,0.0,2.1
815,0.0,2.1
820,0.0,2.1
825,0.0,2.1
830,0.0,2.1
835,0.0,2.1
840,0.0,2.1
845,0.0,2.1
850,0.0,2.1
855,0.0,2.1
860,0.0,2.1
865,0.0,2.1
870,0.0,2.1
875,0.0,2.1
880,0.0,2.1
885,0.0,2.1
890,0.0,2.1
895,0.0,2.1
