seconds,%CPU,%memory
0,0.0,0.4
0,0.0,0.5
0,0.0,0.1
0,0.1,1.1
0,0.0,0.7
0,0.5,6.7
0,0.0,1.3
0,0.0,1.3
0,0.0,1.0
0,0.0,2.1
0,0.0,0.8
5,0.1,3.1
5,0.0,0.4
5,0.0,0.5
5,0.0,0.1
5,0.1,1.1
5,0.0,0.7
5,0.5,6.7
5,0.0,1.3
5,0.0,1.3
5,0.0,1.0
5,0.0,2.1
5,0.0,0.8
10,0.1,3.1
10,0.0,0.4
10,0.0,0.5
10,0.0,0.1
10,0.1,1.1
10,0.0,0.7
10,0.5,6.7
10,0.0,1.3
10,0.0,1.3
10,0.0,1.0
10,0.0,2.1
10,0.0,0.8
15,0.1,3.1
15,0.0,0.4
15,0.0,0.5
15,0.0,0.1
15,0.1,1.1
15,0.0,0.7
15,0.5,6.7
15,0.0,1.3
15,0.0,1.3
15,0.0,1.0
15,0.0,2.1
15,0.0,0.8
20,0.1,3.1
20,0.0,0.4
20,0.0,0.5
20,0.0,0.1
20,0.1,1.1
20,0.0,0.7
20,0.5,6.6
20,0.0,1.3
20,0.0,1.3
20,0.0,1.0
20,0.0,2.1
20,0.0,0.8
25,0.1,3.1
25,0.0,0.4
25,0.0,0.5
25,0.0,0.1
25,0.1,1.1
25,0.0,0.7
25,0.5,6.6
25,0.0,1.4
25,0.0,1.3
25,0.0,1.0
25,0.0,2.1
25,0.0,0.8
30,0.1,3.1
30,0.0,0.4
30,0.0,0.5
30,0.0,0.1
30,0.1,1.1
30,0.0,0.7
30,0.5,6.6
30,0.0,1.4
30,0.0,1.3
30,0.0,1.0
30,0.0,2.1
30,0.0,0.8
35,0.1,3.1
35,0.0,0.4
35,0.0,0.5
35,0.0,0.1
35,0.1,1.1
35,0.0,0.7
35,0.5,6.6
35,0.0,1.4
35,0.0,1.3
35,0.0,1.0
35,0.0,2.1
35,0.0,0.8
40,0.1,3.1
40,0.0,0.4
40,0.0,0.5
40,0.0,0.1
40,0.1,1.1
40,0.0,0.7
40,0.5,6.6
40,0.0,1.4
40,0.0,1.3
40,0.0,1.0
40,0.0,2.1
40,0.0,0.8
45,0.1,3.1
45,0.0,0.4
45,0.0,0.5
45,0.0,0.1
45,0.1,1.1
45,0.0,0.7
45,0.5,6.7
45,0.0,1.4
45,0.0,1.3
45,0.0,1.0
45,0.0,2.1
45,0.0,0.8
50,0.1,3.1
50,0.0,0.4
50,0.0,0.5
50,0.0,0.1
50,0.1,1.1
50,0.0,0.7
50,0.5,7.0
50,0.0,1.4
50,0.0,1.3
50,0.0,1.0
50,0.0,2.1
50,0.0,0.8
55,0.1,3.2
55,0.0,0.4
55,0.0,0.5
55,0.0,0.1
55,0.1,1.2
55,0.0,0.7
55,0.5,7.1
55,0.0,1.4
55,0.0,1.3
55,0.0,1.0
55,0.0,2.1
55,0.0,0.8
60,0.1,3.1
60,0.0,0.4
60,0.0,0.5
60,0.0,0.1
60,0.1,1.1
60,0.0,0.7
60,0.5,6.7
60,0.0,1.3
60,0.0,1.3
60,0.0,1.0
60,0.0,2.1
60,0.0,0.8
65,0.1,3.1
65,0.0,0.4
65,0.0,0.5
65,0.0,0.1
65,0.1,1.1
65,0.0,0.7
65,0.5,6.7
65,0.0,1.3
65,0.0,1.3
65,0.0,1.0
65,0.0,2.1
65,0.0,0.8
70,0.1,3.1
70,0.0,0.4
70,0.0,0.5
70,0.0,0.1
70,0.1,1.1
70,0.0,0.7
70,0.5,6.6
70,0.0,1.3
70,0.0,1.3
70,0.0,1.0
70,0.0,2.1
70,0.0,0.8
75,0.1,3.1
75,0.0,0.4
75,0.0,0.5
75,0.0,0.1
75,0.1,1.1
75,0.0,0.7
75,0.5,6.9
75,0.0,1.3
75,0.0,1.3
75,0.0,1.0
75,0.0,2.1
75,0.0,0.8
80,0.1,3.1
80,0.0,0.4
80,0.0,0.5
80,0.0,0.1
80,0.1,1.1
80,0.0,0.7
80,0.5,6.6
80,0.0,1.3
80,0.0,1.3
80,0.0,1.0
80,0.0,2.1
80,0.0,0.8
85,0.1,3.1
85,0.0,0.4
85,0.0,0.5
85,0.0,0.1
85,0.1,1.1
85,0.0,0.7
85,0.5,6.6
85,0.0,1.3
85,0.0,1.3
