seconds,%CPU,%memory
5,1.2,11.9
10,1.2,11.9
15,1.2,11.9
20,1.2,11.9
25,1.2,11.9
30,1.2,11.9
35,1.2,11.9
40,1.2,11.9
45,1.2,11.9
50,1.2,11.9
55,1.2,11.9
60,1.2,11.9
65,1.2,11.9
70,1.2,11.9
75,1.2,11.9
80,1.2,11.9
85,1.2,11.9
90,1.2,11.9
95,1.2,11.9
100,1.2,11.9
105,1.2,11.9
110,1.2,11.9
115,1.2,11.9
120,1.2,11.9
125,1.2,11.9
130,1.2,11.9
135,1.2,11.9
140,1.2,11.9
145,1.2,11.9
150,1.2,11.9
155,1.2,11.9
160,1.2,11.9
165,1.2,11.9
170,1.2,11.9
175,1.2,11.9
180,1.2,11.9
185,1.2,11.9
190,1.2,11.9
195,1.2,11.9
200,1.2,11.9
205,1.2,11.9
210,1.2,11.9
215,1.2,11.9
220,1.2,11.9
225,1.2,11.9
230,1.2,11.9
235,1.2,11.9
240,1.2,11.9
245,1.2,11.9
250,1.2,11.9
255,1.2,11.9
260,1.2,11.9
265,1.2,11.9
270,1.2,11.9
275,1.2,11.9
280,1.2,11.9
285,1.2,11.9
290,1.2,11.9
295,1.2,11.9
300,1.2,11.9
305,1.2,11.9
310,1.2,11.9
315,1.2,11.9
320,1.2,11.9
325,1.2,11.9
330,1.2,11.9
335,1.2,11.9
340,1.2,11.9
345,1.2,11.9
350,1.2,11.9
355,1.2,11.9
360,1.2,11.9
365,1.2,11.9
370,1.2,11.9
375,1.2,11.9
380,1.2,11.9
385,1.2,11.9
390,1.2,11.9
395,1.2,11.9
400,1.2,11.9
405,1.2,11.9
410,1.2,11.9
415,1.2,11.9
420,1.2,11.9
425,1.2,11.9
430,1.2,11.9
435,1.2,11.9
440,1.2,11.9
445,1.2,12.1
450,1.2,12.1
455,1.2,12.0
460,1.2,12.0
465,1.2,12.0
470,1.2,12.0
475,1.2,12.0
480,1.2,12.0
485,1.2,12.0
490,1.2,12.0
495,1.2,12.0
500,1.2,12.0
505,1.2,12.0
510,1.2,12.0
515,1.2,12.0
520,1.2,12.0
525,1.2,12.0
530,1.2,12.0
535,1.2,12.0
540,1.2,12.0
545,1.2,12.0
550,1.2,12.0
555,1.2,12.0
560,1.2,12.0
565,1.2,12.0
570,1.2,12.0
575,1.2,12.0
580,1.2,12.0
585,1.2,12.0
590,1.2,12.0
595,1.2,12.0
600,1.2,12.0
605,1.2,12.0
610,1.2,12.0
615,1.2,12.0
620,1.2,12.0
625,1.2,12.0
630,1.2,12.0
635,1.2,12.0
640,1.2,12.0
645,1.2,12.0
650,1.2,12.0
655,1.2,12.0
660,1.2,12.0
665,1.2,12.0
670,1.2,12.0
675,1.2,12.0
680,1.2,12.0
685,1.2,12.0
690,1.2,12.0
695,1.2,12.0
700,1.2,12.0
705,1.2,12.0
710,1.2,12.0
715,1.2,12.0
720,1.2,12.0
725,1.2,12.0
730,1.2,12.0
735,1.2,12.0
740,1.2,13.1
745,1.2,12.3
750,1.2,12.4
755,1.2,12.2
760,1.2,12.2
765,1.2,12.2
770,1.2,12.2
775,1.2,12.2
780,1.2,12.2
785,1.2,12.2
790,1.2,12.2
795,1.2,12.2
800,1.2,12.2
805,1.2,12.2
810,1.2,12.2
815,1.2,12.2
820,1.2,12.2
825,1.2,12.2
830,1.2,12.2
835,1.2,12.2
840,1.2,12.2
845,1.2,12.2
850,1.2,12.2
855,1.2,12.2
860,1.2,12.2
865,1.2,12.2
870,1.2,12.2
875,1.2,12.2
880,1.2,12.2
885,1.2,12.2
890,1.2,12.2
895,1.2,12.2
