seconds,%CPU,%memory
5,3.2,12.2
10,3.2,12.2
15,3.2,12.2
20,3.2,11.3
25,3.2,11.3
30,3.2,11.3
35,3.2,11.3
40,3.2,11.3
45,3.2,11.3
50,3.2,11.3
55,3.2,11.3
60,3.2,11.3
65,3.2,11.3
70,3.2,11.3
75,3.2,11.3
80,3.2,11.3
85,3.2,11.3
90,3.2,11.3
95,3.2,11.3
100,3.2,11.3
105,3.2,11.3
110,3.2,11.3
115,3.2,11.3
120,3.2,11.3
125,3.2,11.3
130,3.2,11.3
135,3.2,11.3
140,3.2,11.3
145,3.2,11.3
150,3.2,11.3
155,3.2,11.3
160,3.2,11.3
165,3.2,11.3
170,3.2,11.3
175,3.2,11.3
180,3.2,11.3
185,3.2,11.3
190,3.2,11.3
195,3.2,11.3
200,3.2,11.3
205,3.2,11.3
210,3.2,11.3
215,3.2,11.3
220,3.2,11.3
225,3.2,11.3
230,3.2,11.3
235,3.2,11.3
240,3.2,11.3
245,3.2,11.3
250,3.2,11.3
255,3.2,11.3
260,3.2,11.3
265,3.2,11.3
270,3.2,11.3
275,3.2,11.3
280,3.2,11.3
285,3.2,11.3
290,3.2,11.3
295,3.2,11.3
300,3.2,11.3
305,3.2,11.3
310,3.2,11.3
315,3.2,11.3
320,3.2,11.3
325,3.2,11.3
330,3.2,11.3
335,3.2,11.3
340,3.2,11.3
345,3.2,11.3
350,3.2,11.3
355,3.2,11.3
360,3.2,11.3
365,3.2,11.3
370,3.2,11.3
375,3.2,11.3
380,3.2,11.3
385,3.2,11.3
390,3.2,11.3
395,3.2,11.3
400,3.2,11.3
405,3.2,11.3
410,3.2,11.3
415,3.2,11.3
420,3.2,11.3
425,3.2,11.3
430,3.2,11.3
435,3.2,11.3
440,3.2,11.3
445,3.2,11.3
450,3.2,11.3
455,3.2,11.3
460,3.2,11.3
465,3.2,11.3
470,3.2,11.3
475,3.2,11.3
480,3.3,11.3
485,3.3,11.3
490,3.3,11.3
495,3.3,11.3
500,3.3,11.3
505,3.3,11.3
510,3.3,11.3
515,3.3,11.3
520,3.3,11.3
525,3.3,11.3
530,3.3,11.3
535,3.3,11.3
540,3.3,11.3
545,3.3,11.3
550,3.3,11.3
555,3.3,11.3
560,3.3,11.3
565,3.3,11.3
570,3.3,11.3
575,3.3,11.3
580,3.3,11.3
585,3.3,11.3
590,3.3,11.3
595,3.3,11.3
600,3.3,11.3
605,3.3,11.3
610,3.3,11.3
615,3.3,11.3
620,3.3,11.3
625,3.3,11.3
630,3.3,11.3
635,3.3,11.3
640,3.3,11.3
645,3.3,11.3
650,3.3,11.3
655,3.3,11.3
660,3.3,11.3
665,3.3,11.3
670,3.3,11.3
675,3.3,11.3
680,3.3,11.3
685,3.3,11.3
690,3.3,11.3
695,3.3,11.3
700,3.3,11.3
705,3.3,11.3
710,3.3,11.3
715,3.3,11.3
720,3.3,11.3
725,3.3,11.3
730,3.3,11.3
735,3.3,11.3
740,3.3,11.3
745,3.3,11.3
750,3.3,11.3
755,3.3,11.3
760,3.3,11.3
765,3.3,11.3
770,3.3,11.3
775,3.3,11.3
780,3.3,11.3
785,3.3,11.3
790,3.3,11.3
795,3.3,11.3
800,3.3,11.3
805,3.3,11.3
810,3.3,11.3
815,3.3,11.3
820,3.3,11.3
825,3.3,11.3
830,3.3,11.3
835,3.3,11.3
840,3.3,11.3
845,3.3,11.3
850,3.3,11.3
855,3.3,11.3
860,3.3,11.3
865,3.3,11.3
870,3.3,11.3
875,3.3,11.3
880,3.3,11.3
885,3.3,11.3
890,3.3,11.3
895,3.3,11.3
