seconds,%CPU,%memory
5,0.1,1.3
10,0.1,1.3
15,0.1,1.3
20,0.1,1.3
25,0.1,1.3
30,0.1,1.3
35,0.1,1.3
40,0.1,1.3
45,0.1,1.3
50,0.1,1.3
55,0.1,1.3
60,0.1,1.3
65,0.1,1.3
70,0.1,1.3
75,0.1,1.3
80,0.1,1.3
85,0.1,1.3
90,0.1,1.3
95,0.1,1.3
100,0.1,1.3
105,0.1,1.3
110,0.1,1.3
115,0.1,1.3
120,0.1,1.3
125,0.1,1.3
130,0.1,1.3
135,0.1,1.3
140,0.1,1.3
145,0.1,1.3
150,0.1,1.3
155,0.1,1.3
160,0.1,1.3
165,0.1,1.3
170,0.1,1.3
175,0.1,1.3
180,0.1,1.3
185,0.1,1.3
190,0.1,1.3
195,0.1,1.3
200,0.1,1.3
205,0.1,1.3
210,0.1,1.3
215,0.1,1.3
220,0.1,1.3
225,0.1,1.3
230,0.1,1.3
235,0.1,1.3
240,0.1,1.3
245,0.1,1.3
250,0.1,1.3
255,0.1,1.3
260,0.1,1.3
265,0.1,1.3
270,0.1,1.3
275,0.1,1.3
280,0.1,1.3
285,0.1,1.3
290,0.1,1.3
295,0.1,1.3
300,0.1,1.3
305,0.1,1.3
310,0.1,1.3
315,0.1,1.3
320,0.1,1.3
325,0.1,1.3
330,0.1,1.3
335,0.1,1.3
340,0.1,1.3
345,0.1,1.3
350,0.1,1.3
355,0.1,1.3
360,0.1,1.3
365,0.1,1.3
370,0.1,1.3
375,0.1,1.3
380,0.1,1.3
385,0.1,1.3
390,0.1,1.3
395,0.1,1.3
400,0.1,1.3
405,0.1,1.3
410,0.1,1.3
415,0.1,1.3
420,0.1,1.3
425,0.1,1.3
430,0.1,1.3
435,0.1,1.3
440,0.1,1.3
445,0.1,1.3
450,0.1,1.3
455,0.1,1.3
460,0.1,1.3
465,0.1,1.3
470,0.1,1.3
475,0.1,1.3
480,0.1,1.3
485,0.1,1.3
490,0.1,1.3
495,0.1,1.3
500,0.1,1.3
505,0.1,1.3
510,0.1,1.3
515,0.1,1.3
520,0.1,1.3
525,0.1,1.3
530,0.1,1.3
535,0.1,1.3
540,0.1,1.3
545,0.1,1.3
550,0.1,1.3
555,0.1,1.3
560,0.1,1.3
565,0.1,1.3
570,0.1,1.3
575,0.1,1.3
580,0.1,1.3
585,0.1,1.3
590,0.1,1.3
595,0.1,1.3
600,0.1,1.3
605,0.1,1.3
610,0.1,1.3
615,0.1,1.3
620,0.1,1.3
625,0.1,1.3
630,0.1,1.3
635,0.1,1.3
640,0.1,1.3
645,0.1,1.3
650,0.1,1.3
655,0.1,1.3
660,0.1,1.3
665,0.1,1.3
670,0.1,1.3
675,0.1,1.3
680,0.1,1.3
685,0.1,1.3
690,0.1,1.3
695,0.1,1.3
700,0.1,1.3
705,0.1,1.3
710,0.1,1.3
715,0.1,1.3
720,0.1,1.3
725,0.1,1.3
730,0.1,1.3
735,0.1,1.3
740,0.1,1.3
745,0.1,1.3
750,0.1,1.3
755,0.1,1.3
760,0.1,1.3
765,0.1,1.3
770,0.1,1.3
775,0.1,1.3
780,0.1,1.3
785,0.1,1.3
790,0.1,1.3
795,0.1,1.3
800,0.1,1.3
805,0.1,1.3
810,0.1,1.3
815,0.1,1.3
820,0.1,1.3
825,0.1,1.3
830,0.1,1.3
835,0.1,1.3
840,0.1,1.3
845,0.1,1.3
850,0.1,1.3
855,0.1,1.3
860,0.1,1.3
865,0.1,1.3
870,0.1,1.3
875,0.1,1.3
880,0.1,1.3
885,0.1,1.3
890,0.1,1.3
895,0.1,1.3
