seconds,%CPU,%memory
5,0.0,1.8
10,0.0,1.8
15,0.0,1.8
20,0.0,1.8
25,0.0,1.8
30,0.0,1.8
35,0.0,1.8
40,0.0,1.8
45,0.0,1.8
50,0.0,1.8
55,0.0,1.8
60,0.0,1.8
65,0.0,1.8
70,0.0,1.8
75,0.0,1.8
80,0.0,1.8
85,0.0,1.8
90,0.0,1.8
95,0.0,1.8
100,0.0,1.8
105,0.0,1.8
110,0.0,1.8
115,0.0,1.8
120,0.0,1.8
125,0.0,1.8
130,0.0,1.8
135,0.0,1.8
140,0.0,1.8
145,0.0,1.8
150,0.0,1.8
155,0.0,1.8
160,0.0,1.8
165,0.0,1.8
170,0.0,1.8
175,0.0,1.8
180,0.0,1.8
185,0.0,1.8
190,0.0,1.8
195,0.0,1.8
200,0.0,1.8
205,0.0,1.8
210,0.0,1.8
215,0.0,1.8
220,0.0,1.8
225,0.0,1.8
230,0.0,1.8
235,0.0,1.8
240,0.0,1.8
245,0.0,1.8
250,0.0,1.8
255,0.0,1.8
260,0.0,1.8
265,0.0,1.8
270,0.0,1.8
275,0.0,1.8
280,0.0,1.8
285,0.0,1.8
290,0.0,1.8
295,0.0,1.8
300,0.0,1.8
305,0.0,1.8
310,0.0,1.8
315,0.0,1.8
320,0.0,1.8
325,0.0,1.8
330,0.0,1.8
335,0.0,1.8
340,0.0,1.8
345,0.0,1.8
350,0.0,1.8
355,0.0,1.8
360,0.0,1.8
365,0.0,1.8
370,0.0,1.8
375,0.0,1.8
380,0.0,1.8
385,0.0,1.8
390,0.0,1.8
395,0.0,1.8
400,0.0,1.8
405,0.0,1.8
410,0.0,1.8
415,0.0,1.8
420,0.0,1.8
425,0.0,1.8
430,0.0,1.8
435,0.0,1.8
440,0.0,1.8
445,0.0,1.8
450,0.0,1.8
455,0.0,1.8
460,0.0,1.8
465,0.0,1.8
470,0.0,1.8
475,0.0,1.8
480,0.0,1.8
485,0.0,1.8
490,0.0,1.8
495,0.0,1.8
500,0.0,1.8
505,0.0,1.8
510,0.0,1.8
515,0.0,1.8
520,0.0,1.8
525,0.0,1.8
530,0.0,1.8
535,0.0,1.8
540,0.0,1.8
545,0.0,1.8
550,0.0,1.8
555,0.0,1.8
560,0.0,1.8
565,0.0,1.8
570,0.0,1.8
575,0.0,1.8
580,0.0,1.8
585,0.0,1.8
590,0.0,1.8
595,0.0,1.8
600,0.0,1.8
605,0.0,1.8
610,0.0,1.8
615,0.0,1.8
620,0.0,1.8
625,0.0,1.8
630,0.0,1.8
635,0.0,1.8
640,0.0,1.8
645,0.0,1.8
650,0.0,1.8
655,0.0,1.8
660,0.0,1.8
665,0.0,1.8
670,0.0,1.8
675,0.0,1.8
680,0.0,1.8
685,0.0,1.8
690,0.0,1.8
695,0.0,1.8
700,0.0,1.8
705,0.0,1.8
710,0.0,1.8
715,0.0,1.8
720,0.0,1.8
725,0.0,1.8
730,0.0,1.8
735,0.0,1.8
740,0.0,1.8
745,0.0,1.8
750,0.0,1.8
755,0.0,1.8
760,0.0,1.8
765,0.0,1.8
770,0.0,1.8
775,0.0,1.8
780,0.0,1.8
785,0.0,1.8
790,0.0,1.8
795,0.0,1.8
800,0.0,1.8
805,0.0,1.8
810,0.0,1.8
815,0.0,1.8
820,0.0,1.8
825,0.0,1.8
830,0.0,1.8
835,0.0,1.8
840,0.0,1.8
845,0.0,1.8
850,0.0,1.8
855,0.0,1.8
860,0.0,1.8
865,0.0,1.8
870,0.0,1.8
875,0.0,1.8
880,0.0,1.8
885,0.0,1.8
890,0.0,1.8
895,0.0,1.8
