seconds,rx data rate,tx data rate,disk writes,available disk capacity
0,297151,176669,123.93,18791
5,8174,4711,123.92,18791
10,388,2395,123.91,18791
15,295,2399,123.91,18791
20,362,2333,123.90,18791
25,292,2333,123.90,18791
30,295,2333,123.90,18791
35,229,2298,123.90,18794
40,296,2399,123.89,18794
45,226,2298,123.89,18794
50,296,2399,123.88,18794
55,591,6633,123.88,18794
60,230,2298,123.88,18794
65,774,2583,123.87,18794
70,520,2429,123.87,18794
75,229,2298,123.86,18794
80,296,2399,123.86,18794
85,292,2333,123.85,18794
90,296,2333,123.85,18794
95,230,2297,123.84,18794
100,292,2399,123.84,18794
105,292,2332,123.83,18794
110,296,2333,123.83,18794
115,571,4922,123.83,18794
120,1316,2399,123.82,18794
125,1178,2517,123.82,18794
130,794,2429,123.81,18794
135,226,2298,123.80,18794
140,448,2493,123.80,18794
145,295,2333,123.80,18794
150,9776,4767,123.79,18793
155,462,3517,123.79,18793
160,292,2333,123.78,18793
165,296,2333,123.77,18793
170,292,2333,123.77,18793
175,296,2333,123.77,18794
180,570,2298,123.76,18794
185,931,2678,123.76,18794
190,296,2332,123.75,18794
195,226,2297,123.75,18794
200,358,2465,123.74,18794
205,292,2332,123.74,18794
210,297,2332,123.73,18794
215,375,2398,123.73,18794
220,363,2398,123.72,18794
225,363,2332,123.72,18794
230,231,2298,123.71,18794
235,295,2398,123.71,18794
240,619,2609,123.71,18794
245,1266,2614,123.70,18794
250,6455,10771,123.69,18794
255,292,2336,123.69,18794
260,292,2338,123.68,18794
265,292,2680,123.68,18794
270,292,2334,123.67,18794
275,292,2333,123.67,18794
280,292,2333,123.67,18793
285,226,2297,123.66,18794
290,292,2399,123.65,18793
295,296,2332,123.65,18793
300,382,2423,123.64,18793
305,918,2612,123.64,18793
310,470,2511,123.64,18794
315,474,2332,123.63,18794
320,292,2333,123.63,18794
325,393,2465,123.62,18794
330,226,2297,123.61,18794
335,297,2399,123.61,18794
340,230,2298,123.60,18794
345,292,2399,123.60,18794
350,292,2333,123.59,18794
355,292,2332,123.59,18794
360,297,2333,123.58,18794
365,990,2613,123.58,18794
370,683,2476,123.57,18794
375,296,2399,123.57,18794
380,362,2333,123.56,18794
385,230,2297,123.56,18794
390,8984,5173,123.55,18794
395,292,2333,123.55,18794
400,292,2333,123.54,18794
405,292,2332,123.54,18794
410,634,2650,123.53,18794
415,292,2333,123.53,18794
420,424,2674,123.53,18794
425,932,2613,123.52,18794
430,486,2333,123.51,18794
435,358,2399,123.51,18794
440,478,2489,123.50,18794
445,5569,8287,123.50,18794
450,226,2297,123.50,18794
455,296,2399,123.49,18794
460,296,2332,123.49,18794
465,453,2423,123.48,18794
470,231,2298,123.48,18794
475,231,2398,123.48,18794
480,362,2364,123.47,18794
485,935,2679,123.47,18794
490,297,2333,123.46,18794
495,331,2364,123.46,18794
500,646,2748,123.45,18794
505,605,2298,123.45,18794
510,292,2399,123.44,18794
515,297,2333,123.44,18794
520,227,2298,123.43,18794
525,359,2466,123.43,18794
530,293,2335,123.42,18794
535,297,2336,123.42,18794
540,228,2302,123.41,18794
545,920,3027,123.41,18794
550,294,2334,123.40,18794
555,294,2333,123.40,18794
560,511,2682,123.39,18794
565,639,2465,123.39,18794
570,228,2297,123.38,18794
575,294,2399,123.38,18794
580,294,2332,123.37,18794
585,294,2332,123.36,18794
590,294,2332,123.36,18794
595,294,2332,123.36,18794
600,365,2332,123.35,18794
605,5769,5802,123.35,18794
610,697,3067,123.34,18794
615,368,2333,123.33,18794
620,236,2297,123.33,18794
625,644,2399,123.33,18794
630,238,2297,123.32,18794
635,306,2399,123.32,18794
640,132,2232,123.31,18794
645,480,2399,123.31,18794
650,306,2399,123.30,18794
655,398,2298,123.30,18794
660,363,2399,123.29,18794
665,967,2709,123.29,18794
670,382,2488,123.28,18794
675,292,2333,123.28,18794
680,293,2333,123.27,18794
685,227,2298,123.27,18794
690,14713,8088,123.26,18794
695,295,2332,123.26,18794
700,226,2297,123.25,18794
705,296,2399,123.25,18794
710,363,2332,123.24,18794
715,227,2298,123.24,18794
720,296,2399,123.23,18794
725,928,2612,123.23,18794
730,363,2333,123.22,18794
735,229,2298,123.22,18794
740,19920,9315,123.21,18793
745,226,2298,123.21,18794
750,362,2460,123.21,18794
755,363,2333,123.20,18794
760,297,2298,123.20,18794
765,362,2399,123.19,18794
770,296,2333,123.22,18794
775,363,2333,123.21,18794
780,226,2298,123.21,18794
785,933,2678,123.20,18794
790,297,2298,123.20,18794
795,293,2399,123.19,18794
800,764,2867,123.19,18794
805,423,2299,123.18,18794
810,293,2400,123.18,18794
815,292,2336,123.17,18794
820,297,2336,123.17,18794
825,363,2681,123.16,18794
830,297,2298,123.16,18794
835,397,2465,123.15,18794
840,453,2427,123.15,18794
845,765,2517,123.14,18794
850,363,2333,123.14,18794
855,475,2511,123.13,18794
860,454,2654,123.13,18793
865,295,2399,123.13,18794
870,296,2339,123.12,18794
875,230,2299,123.12,18794
880,296,2399,123.11,18794
885,226,2299,123.10,18794
890,295,2399,123.10,18794
895,296,2334,123.10,18794
