seconds,%CPU,%memory
5,0.0,0.5
10,0.0,0.5
15,0.0,0.5
20,0.0,0.5
25,0.0,0.5
30,0.0,0.5
35,0.0,0.5
40,0.0,0.5
45,0.0,0.5
50,0.0,0.5
55,0.0,0.5
60,0.0,0.5
65,0.0,0.5
70,0.0,0.5
75,0.0,0.5
80,0.0,0.5
85,0.0,0.5
90,0.0,0.5
95,0.0,0.5
100,0.0,0.5
105,0.0,0.5
110,0.0,0.5
115,0.0,0.5
120,0.0,0.5
125,0.0,0.5
130,0.0,0.5
135,0.0,0.5
140,0.0,0.5
145,0.0,0.5
150,0.0,0.5
155,0.0,0.5
160,0.0,0.5
165,0.0,0.5
170,0.0,0.5
175,0.0,0.5
180,0.0,0.5
185,0.0,0.5
190,0.0,0.5
195,0.0,0.5
200,0.0,0.5
205,0.0,0.5
210,0.0,0.5
215,0.0,0.5
220,0.0,0.5
225,0.0,0.5
230,0.0,0.5
235,0.0,0.5
240,0.0,0.5
245,0.0,0.5
250,0.0,0.5
255,0.0,0.5
260,0.0,0.5
265,0.0,0.5
270,0.0,0.5
275,0.0,0.5
280,0.0,0.5
285,0.0,0.5
290,0.0,0.5
295,0.0,0.5
300,0.0,0.5
305,0.0,0.5
310,0.0,0.5
315,0.0,0.5
320,0.0,0.5
325,0.0,0.5
330,0.0,0.5
335,0.0,0.5
340,0.0,0.5
345,0.0,0.5
350,0.0,0.5
355,0.0,0.5
360,0.0,0.5
365,0.0,0.5
370,0.0,0.5
375,0.0,0.5
380,0.0,0.5
385,0.0,0.5
390,0.0,0.5
395,0.0,0.5
400,0.0,0.5
405,0.0,0.5
410,0.0,0.5
415,0.0,0.5
420,0.0,0.5
425,0.0,0.5
430,0.0,0.5
435,0.0,0.5
440,0.0,0.5
445,0.0,0.5
450,0.0,0.5
455,0.0,0.5
460,0.0,0.5
465,0.0,0.5
470,0.0,0.5
475,0.0,0.5
480,0.0,0.5
485,0.0,0.5
490,0.0,0.5
495,0.0,0.5
500,0.0,0.5
505,0.0,0.5
510,0.0,0.5
515,0.0,0.5
520,0.0,0.5
525,0.0,0.5
530,0.0,0.5
535,0.0,0.5
540,0.0,0.5
545,0.0,0.5
550,0.0,0.5
555,0.0,0.5
560,0.0,0.5
565,0.0,0.5
570,0.0,0.5
575,0.0,0.5
580,0.0,0.5
585,0.0,0.5
590,0.0,0.5
595,0.0,0.5
600,0.0,0.5
605,0.0,0.5
610,0.0,0.5
615,0.0,0.5
620,0.0,0.5
625,0.0,0.5
630,0.0,0.5
635,0.0,0.5
640,0.0,0.5
645,0.0,0.5
650,0.0,0.5
655,0.0,0.5
660,0.0,0.5
665,0.0,0.5
670,0.0,0.5
675,0.0,0.5
680,0.0,0.5
685,0.0,0.5
690,0.0,0.5
695,0.0,0.5
700,0.0,0.5
705,0.0,0.5
710,0.0,0.5
715,0.0,0.5
720,0.0,0.5
725,0.0,0.5
730,0.0,0.5
735,0.0,0.5
740,0.0,0.5
745,0.0,0.5
750,0.0,0.5
755,0.0,0.5
760,0.0,0.5
765,0.0,0.5
770,0.0,0.5
775,0.0,0.5
780,0.0,0.5
785,0.0,0.5
790,0.0,0.5
795,0.0,0.5
800,0.0,0.5
805,0.0,0.5
810,0.0,0.5
815,0.0,0.5
820,0.0,0.5
825,0.0,0.5
830,0.0,0.5
835,0.0,0.5
840,0.0,0.5
845,0.0,0.5
850,0.0,0.5
855,0.0,0.5
860,0.0,0.5
865,0.0,0.5
870,0.0,0.5
875,0.0,0.5
880,0.0,0.5
885,0.0,0.5
890,0.0,0.5
895,0.0,0.5
