seconds,%CPU,%memory
5,0.2,0.4
10,0.2,0.4
15,0.2,0.4
20,0.2,0.4
25,0.2,0.4
30,0.2,0.4
35,0.2,0.4
40,0.2,0.4
45,0.2,0.4
50,0.2,0.4
55,0.2,0.4
60,0.2,0.4
65,0.2,0.4
70,0.2,0.4
75,0.2,0.4
80,0.2,0.4
85,0.2,0.4
90,0.2,0.4
95,0.2,0.4
100,0.2,0.4
105,0.2,0.4
110,0.2,0.4
115,0.2,0.4
120,0.2,0.4
125,0.2,0.4
130,0.2,0.4
135,0.2,0.4
140,0.2,0.4
145,0.2,0.4
150,0.2,0.4
155,0.2,0.4
160,0.2,0.4
165,0.2,0.4
170,0.2,0.4
175,0.2,0.4
180,0.2,0.4
185,0.2,0.4
190,0.2,0.4
195,0.2,0.4
200,0.2,0.4
205,0.2,0.4
210,0.2,0.4
215,0.2,0.4
220,0.2,0.4
225,0.2,0.4
230,0.2,0.4
235,0.2,0.4
240,0.2,0.4
245,0.2,0.4
250,0.2,0.4
255,0.2,0.4
260,0.2,0.4
265,0.2,0.4
270,0.2,0.4
275,0.2,0.4
280,0.2,0.4
285,0.2,0.4
290,0.2,0.4
295,0.2,0.4
300,0.2,0.4
305,0.2,0.4
310,0.2,0.4
315,0.2,0.4
320,0.2,0.4
325,0.2,0.4
330,0.2,0.4
335,0.2,0.4
340,0.2,0.4
345,0.2,0.4
350,0.2,0.4
355,0.2,0.4
360,0.2,0.4
365,0.2,0.4
370,0.2,0.4
375,0.2,0.4
380,0.2,0.4
385,0.2,0.4
390,0.2,0.4
395,0.2,0.4
400,0.2,0.4
405,0.2,0.4
410,0.2,0.4
415,0.2,0.4
420,0.2,0.4
425,0.2,0.4
430,0.2,0.4
435,0.2,0.4
440,0.2,0.4
445,0.2,0.4
450,0.2,0.4
455,0.2,0.4
460,0.2,0.4
465,0.2,0.4
470,0.2,0.4
475,0.2,0.4
480,0.2,0.4
485,0.2,0.4
490,0.2,0.4
495,0.2,0.4
500,0.2,0.4
505,0.2,0.4
510,0.2,0.4
515,0.2,0.4
520,0.2,0.4
525,0.2,0.4
530,0.2,0.4
535,0.2,0.4
540,0.2,0.4
545,0.2,0.4
550,0.2,0.4
555,0.2,0.4
560,0.2,0.4
565,0.2,0.4
570,0.2,0.4
575,0.2,0.4
580,0.2,0.4
585,0.2,0.4
590,0.2,0.4
595,0.2,0.4
600,0.2,0.4
605,0.2,0.4
610,0.2,0.4
615,0.2,0.4
620,0.2,0.4
625,0.2,0.4
630,0.2,0.4
635,0.2,0.4
640,0.2,0.4
645,0.2,0.4
650,0.2,0.4
655,0.2,0.4
660,0.2,0.4
665,0.2,0.4
670,0.2,0.4
675,0.2,0.4
680,0.2,0.4
685,0.2,0.4
690,0.2,0.4
695,0.2,0.4
700,0.2,0.4
705,0.2,0.4
710,0.2,0.4
715,0.2,0.4
720,0.2,0.4
725,0.2,0.4
730,0.2,0.4
735,0.2,0.4
740,0.2,0.4
745,0.2,0.4
750,0.2,0.4
755,0.2,0.4
760,0.2,0.4
765,0.2,0.4
770,0.2,0.4
775,0.2,0.4
780,0.2,0.4
785,0.2,0.4
790,0.2,0.4
795,0.2,0.4
800,0.2,0.4
805,0.2,0.4
810,0.2,0.4
815,0.2,0.4
820,0.2,0.4
825,0.2,0.4
830,0.2,0.4
835,0.2,0.4
840,0.2,0.4
845,0.2,0.4
850,0.2,0.4
855,0.2,0.4
860,0.2,0.4
865,0.2,0.4
870,0.2,0.4
875,0.2,0.4
880,0.2,0.4
885,0.2,0.4
890,0.2,0.4
895,0.2,0.4
